,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
87,Chicken-Stuffed-Jalapenos-1599521,,8,24,,2400.0
88,Spinach-and-Onion-Stuffed-Portobello-Mushrooms-1690030,900.0,8,2,1200.0,2100.0
89,Smoky-Chorizo-Cheese-Dip-1679022,,4,4,,1200.0
90,Spinach-Bites-1622575,,8,30,,3300.0
91,Homemade-Bruschetta-1199702,,6,4,600.0,600.0
92,Quick-and-Easy-Bean-_-Cheese-Dip-1623502,,4,4,,900.0
93,Green-Goddess-Spinach-Dip-1691224,,8,1,,1200.0
94,The-Very-Best-Deviled-Eggs-1535189,900.0,9,12,900.0,5400.0
95,Cheddar-Bacon-Ranch-Cheese-Ball-1074436,,6,4,,3000.0
96,Lemon-Tahini-Lentil-Dip-1700991,1800.0,13,5,300.0,2100.0
97,Loaded-Baked-Potato-Dip-1200114,,7,5,900.0,900.0
98,Slow-Cooker-Buffalo-Chicken-Meatballs-1679819,,8,4,,2700.0
99,Pepperoni-Pizza-Monkey-Bread-1678607,,6,4,,4200.0
100,Hidden-Valley-Bacon-_-Cheddar-Dip-600995,,5,2,900.0,900.0
101,The-BEST-Guacamole-1636082,,8,4,300.0,300.0
102,Artichoke-Dip-497388,,7,8,300.0,3300.0
103,Fruit-Dip-1511084,,4,4,300.0,300.0
104,Herbed-Dipping-Oil-1691347,,3,1,120.0,120.0
105,Herb-Marinated-Feta-1009340,,6,4,,1500.0
106,Roasted-Garlic-Hummus-1069648,,9,1,900.0,4200.0
107,Spicy-Banana-Salsa-1699751,,10,1,900.0,900.0
108,French-Onion-Dip-Gluten-Free-and-Vegan-1104261,,6,4,,1800.0
109,BLT-Dip-_Printable-recipe_-1626863,,8,4,,1500.0
110,Pumpkin-Dip-1344493,,4,6,300.0,300.0
111,Erin-1616508,,7,4,,1500.0
112,Old-Fashioned-Canned-Tomatoes-637489,2400.0,4,1,1200.0,3600.0
113,Lightened-Up-7-Layer-Dip-1192698,,9,8,600.0,600.0
114,Cheddar-Bacon-Dip-_a_k_a-Crack_-580224,,4,4,,1200.0
115,Artichoke-lemon-dip-308592,,9,2,600.0,600.0
116,Spring-Rolls-with-Spicy-Peanut-Sauce-1702338,,15,5,,1800.0
117,Dill-icious-Dip-1093841,,5,8,,900.0
118,Easy-4-Ingredient-Queso-with-Velveeta-Block-Cheese-1619286,600.0,4,12,300.0,900.0
119,Spicy-shrimp-dip-303713,,5,4,,600.0
120,Creamy-Peanut-Butter-Fruit-Dip-471245,,4,4,,1200.0
121,Spicy-asian-white-bean-dip-345869,,12,4,,600.0
122,Guacamole-_Chipotle-Copycat_-1189594,,6,1,,1200.0
123,Five-Layer-Bean-Dip-1590277,,7,8,,1200.0
124,Baba-Ghanoush_-Baby_-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41320,,6,8,600.0,600.0
125,Smoky-and-Chunky-Guacamole-1687584,,11,4,,2100.0
126,Loaded-Mexican-Potato-Skins-1690780,,20,8,,4500.0
127,Montasio-Cheese-Crisps-442065,,4,10,,1200.0
128,Canning-Crushed-Tomatoes-1705394,,13,4,,5100.0
129,Creamy-Spinach-Dip-1679425,,10,10,900.0,900.0
130,Classic-Hummus-1572745,,7,1,600.0,600.0
131,Fab-Stuffed-Mushrooms-1523408,,7,4,,2400.0
132,Baked-feta-with-tomatoes-and-olives-305339,,14,4,,2400.0
133,Low-Carb-Hummus-_Bean-Free_-746944,,7,4,,1200.0
134,Hot-Cheesy-Party-Ring-1104403,,5,4,,3300.0
135,Homemade-Garlic-Butter-1082763,,7,4,,900.0
136,Cucumber-Yogurt-Lime-Dip-1597121,,4,6,600.0,600.0
137,Herbed-Grilled-Chicken-Wings-1207369,,7,4,,3600.0
138,Hot-Corn-Dip-1074450,300.0,9,3,300.0,600.0
139,Queso-Fundido-1614897,,8,4,,2400.0
140,Black-Bean-Dip-1620513,,5,4,,1500.0
141,Bacon-Wrapped-Water-Chestnuts-1637583,,4,20,,3000.0
142,The-Best-Stuffed-Mushrooms-Ever-1530859,1800.0,6,4,1200.0,3000.0
143,Savory-Pumpkin-Dip-1316139,,8,2,300.0,300.0
144,Twice-Baked-Potato-Bites-995287,,6,8,,4500.0
145,Herb-Cashew-Cream-Cheese-550766,,11,4,,2700.0
146,Roasted-Red-Pepper-Hummus-1688499,1200.0,10,4,,1800.0
147,How-to-grill-oysters-at-home-308061,,4,4,,1500.0
148,Grandma-denny_s-original-vegetable-dip-309372,,12,2,,2700.0
149,Sephardic-salsa-314453,3600.0,7,8,600.0,4200.0
150,Chipolte-Salsa-1613279,,6,4,,1500.0
151,Easy-spicy-wings-with--chunky-blue-cheese-298385,,5,4,,3600.0
152,Chili-Lime-Butter-1637909,,6,4,,1800.0
153,Lemongrass-Wings-1225494,600.0,7,2,1200.0,1800.0
154,Salmon-With-Avocado-Mousse-1682520,,7,4,,1800.0
155,Dill-Pickle-Dip-1235133,,7,3,,2100.0
156,Easy-Cream-Cheese-Fruit-Dip-1683400,,3,1,,900.0
157,Bacon-Wrapped-Grilled-Peaches-with-Balsamic-Glaze-1637582,,5,4,,2400.0
158,Jalapeno-Cheddar-Sweet-Potato-Puffs-1618241,,6,18,,1800.0
159,Chipotle-Chip-Dip-1122783,,7,8,600.0,600.0
160,Lemony-Beet-Dip-1706737,6300.0,20,2,900.0,7200.0
161,Beef-Enchilada-Dip-1584491,600.0,7,8,180.0,780.0
162,Spanakopita-Bites-for-_SundaySupper-1693757,,12,4,,2400.0
163,Skinny-Taco-Dip-1590736,,8,4,,1500.0
164,Bulgogi-Style-Marinated-Chicken-Wings-1693244,1800.0,10,7,600.0,2400.0
165,Roasted-Garlic-Hummus-1196314,,4,6,300.0,300.0
166,Copycat-TGI-Friday_s-Baked-Potato-Skins-1012973,,7,8,,5400.0
167,Red-Lentil-and-Roasted-Carrot-Hummus-1686983,,11,2,,3000.0
168,Buffalo-Balls-_No_-not-really_-483136,,8,16,,2700.0
169,Roasted-Garlic-Hummus-1061226,,7,12,,5400.0
170,Spicy-honey-roasted-wings-298017,,5,4,,4200.0
171,Chipotle-Guacamole-1588350,,7,4,900.0,900.0
172,Gooey-and-Cheesy-Warm-Bacon-Dip-758886,,5,4,,2100.0
173,Skinny-Buffalo-Chicken-Dip-1590739,,6,4,,3000.0
174,Dos-Caminos_-Guacamole-1696605,,7,4,,1200.0
175,Chickpea-Shawarma-Dip-1703849,1200.0,25,5,600.0,1800.0
176,MOZZARELLA-STICKS-WITH-BUTTERMILK-DIP-1687945,,18,4,,3900.0
177,Creamy-dilled-vegetable-dip-298600,,4,4,,7500.0
178,Ants-fell-off-the-log-dip-299740,,7,4,,600.0
179,Zucchini-Bites-1120238,,7,12,,2100.0
180,Maple-meatballs-370089,,6,6,,1200.0
181,Shrimp-Ceviche-Stuffed-Avocados-1049590,,11,6,,1800.0
182,Black-Bean-Hummus-985680,,8,1,600.0,600.0
183,Easy-Baked-Chicken-Wings-in-Sweet-_-Sour-Sauce-1642713,,7,4,,3000.0
184,BBQ-and-Grape-Jelly-Crockpot-Meatballs-_SundaySupper-1604022,,3,98,,2100.0
185,Carrot_-Walnut-_-Red-Lentil-Hummus-1701860,1800.0,17,8,900.0,2700.0
186,Goat-Cheese-Appetizer-Recipe-with-Roasted-Pepper-_-Caramelized-Leeks-1703880,180.0,8,4,600.0,780.0
187,Smoked-Bacon-Wrapped-Onion-Rings_-Spicy-Sriracha-Onion-Rings-1248352,5400.0,6,4,900.0,6300.0
188,2-Ingredient-Queso-Dip-1077872,180.0,2,7,120.0,300.0
189,Dr-Pepper-Meatballs-682705,,6,4,,2400.0
190,Nacho-Cheese-Dip-and-Sauce-1090482,1800.0,5,2,900.0,2700.0
191,5-ingredient-White-Queso-1621736,600.0,5,3,300.0,900.0
192,Cheese-Crisps-440860,,2,4,,1800.0
193,Crispy_-Golden-Onion-Rings-1686023,,8,4,,2100.0
194,Brown-Sugar-_-Bacon-Puff-Twists-1690450,,5,18,,3600.0
195,Strawberry-Mango-Salsa-1638454,,9,12,600.0,600.0
196,Spicy-Cajun-Seafood-Dips-_-Festival-Fun-1698675,,23,4,,4200.0
197,Gochujang-_Korean-Chili-Paste_-Deviled-Eggs-1686630,1800.0,6,12,,1800.0
198,Cherry-_-Mint-Polenta-Bruschetta-1708556,,10,12,,2100.0
199,Cashew-and-Vanilla-Butter-1180241,,2,1,,1800.0
200,Homemade-Ranch-Dip-1202101,,6,4,,3000.0
201,Strawberry-Bruschette-Avocado-Boats-1690329,,8,6,600.0,600.0
202,Peanut-butter-bbq-sauce-dip-299511,,5,4,,600.0
203,Creamy-Greek-Yogurt-Spinach-Dip-_Your-New-Favorite-Go-To-Recipe_-1639781,,9,4,,2700.0
204,Black-Olive-Tapenade-1663511,,5,1,,300.0
205,Greek-Dip-1687851,,15,4,,900.0
