,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
86,Balsamic-Roasted-Portobello-Mushrooms-with-Blue-Cheese-1625734,1020.0,7,2,300.0,1320
87,Slow-Cooker-Queso-Dip-1697502,7200.0,6,4,300.0,7500
88,Jalapeno-Corn-Dip-with-Bacon-1697467,1200.0,5,6,300.0,1500
89,Creamy-Ranch-Buffalo-Chicken-Dip-1705699,,10,4,,4200
90,Best-Marinated-Bacon-Wrapped-Scallops-1708359,900.0,6,20,2100.0,3000
91,Best-Ever-Chip-Dip-1116086,,6,4,,2400
92,Grilled-Oysters-with-Chorizo-Butter-1711589,,7,4,,2700
93,Vegan-Lemony-White-Bean-Dip-1694790,,6,2,,900
94,Bacon-wrapped-caramelized-sesame-asparagus-333435,,7,4,,3000
95,WINGSTOP-COPY-CAT-LEMON-GARLIC-PEPPER-WINGS-1693744,,6,4,,3600
96,PHILLY-Tomato-Basil-Dip-1711992,900.0,6,14,900.0,1800
97,Pickled-Shrimp-1710610,,7,8,,2700
98,Manwich-Cheesy-Chicken-Dip-1712983,,7,24,900.0,2100
99,Smoked-Salmon-Dip-1712050,360.0,8,4,180.0,540
100,Sweet-Potato-Frites-_-Dip-1712709,,2,5,,2700
101,Pineapple-Guacamole-1710388,,9,7,600.0,600
102,SMOKED-SALMON-TARTARE-1706280,,7,11,600.0,600
103,Peach-Bruschetta-1710490,,5,26,600.0,600
104,Guacamole-1626713,,9,14,900.0,900
105,Shrimp-with-Pesto-and-Prosciutto-1700509,300.0,3,15,300.0,600
106,Garlic-_-Herb-Yogurt-Dip-1708150,,16,4,,900
107,Pistachio-Crusted-Vegan-Cheese-Ball-1709717,,11,1,,1500
108,Prosciutto_-Brie-_-Honey-Crostini-1641761,720.0,8,12,600.0,1320
109,Asparagus-Wonton-Fries-1700634,,11,15,,1500
110,Stuffed-Jalapenos-with-Gorgonzola-and-Bacon-1704544,,5,19,,2700
111,Smokey-Roasted-Red-Pepper-Hummus-1703400,,13,4,,1200
112,Classic-French-Onion-Dressing-_-Dip-1712575,,5,4,,1200
113,Beet-Cashew-Dip-1711638,,7,3,,3900
114,Fresh-Tomato-Salsa-1713288,,9,4,600.0,600
115,Slow-Cooker-Strawberry-Butter-1705121,,4,4,,4800
116,Mexican-Stuffed-Crescent-Roll-1709064,900.0,5,16,600.0,1500
117,Vegan-Avocado-Ranch-Dip-1709320,,8,4,,600
118,Olive-Cheddar-Pinwheels-1707651,,6,4,,1200
119,Spinach-and-Artichoke-Dip-1706402,,10,4,,3300
120,Chickpea-and-Black-Bean-Dip-1705319,,8,4,,1200
121,Fresh-Basil-Spread-1710128,,8,16,600.0,600
122,Sweet-Chili-Shrimp-1711692,,4,4,,1200
123,Sour-Cream-and-Onion-Deviled-Eggs-1704314,,5,12,,1200
124,Bacon-And-Chicken-Liver-Pate-1712071,,8,4,,1800
125,Lightened-Up-Mexican-Corn-Dip-with-Avocado-and-Jalapeno-1711126,300.0,10,6,600.0,900
