,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
90,Thai-Red-Curry-Corn-Chowder-1688569,1500.0,13,4,,2100
91,Heavenly-Creamy-Cauliflower-Soup-In-The-Soup-Maker-1521663,1500.0,10,6,300.0,1800
92,Lobster-Chowder-970725,3000.0,10,12,,3000
93,Italian-minestrone-soup-in-the-slow-cooker-310330,,12,7,,3300
94,Broccoli-and-Potato-Soup-1213136,1500.0,9,4,300.0,1800
95,A-Super-Soup-For-Whitening-And-Detoxification-Lotus-Root-and-Pig-Feet-Soup-1679840,,9,3,,600
96,Turmeric-Tomato-Soup-1627136,,11,4,,2100
97,Split-Lentil-Soup-with-Vegetables-1693450,,10,4,,3600
98,Quick-and-Easy-Potato-Soup-440155,,9,2,,3000
99,Lowfat-Broccoli-Cheese-Soup-1625838,,13,4,,3000
100,Sopa-de-calabaza-297839,,7,4,,3300
101,Flu-Remedy-Soup-979118,900.0,11,8,,900
102,Spring-Vegetable-Soup-1641212,,13,6,,2700
103,Indian-Tomato-Soup-1685860,,13,4,,2400
104,Traditional-Czech-Garlic-Soup-980651,,13,2,,3300
105,Thanksgiving-Soup-_AIP_-GAPS-Intro_-Paleo_-1158582,300.0,6,1,300.0,600
106,Oven-Roasted-Cauliflower-and-Garlic-Soup-1561207,,8,4,,6300
107,How-to-Achieve-Optimal-Health-With-Carrot-Coconut-Soup-1623017,,10,4,,2700
108,Potato-Soup-600268,,10,4,,2400
109,Jerusalem-Artichoke-Soup-Simply-Recipes-200325,3000.0,8,4,900.0,3900
110,Slow-Cooker-Meatball-Soup-with-Potatoes-_-Kale-1690371,,14,6,,3000
111,5---Ingredient-Broccoli-Cheese-Soup-1472900,,7,4,,2400
112,Detox-Chicken-Bok-Choy-Soup-_SundaySupper-977574,2100.0,10,6,900.0,3000
113,Italian-Sausage-and-Kale-Soup-1274259,3600.0,9,6,1200.0,4800
114,Sweet-Potato-and-Red-Pepper-Soup-629779,,9,4,,2100
115,15-Minute-Black-Bean-Soup-1633689,600.0,13,1,300.0,900
116,Chicken-Tortilla-Soup-1679959,,21,4,600.0,600
117,Irish-Potato-Soup-974627,,13,6,,5100
118,slow-cooker-Tom-Kha-Gai-_Thai-coconut-soup_-987624,,12,8,,2100
119,Vegan-Chickpea_-Garlic_-and-Thyme-Soup-1004028,,8,3,,3300
120,Sorrel-Soup-_Green-Borsch_-1639692,,12,4,,3300
121,Not-Your-Baba_s-Borscht-_Vegan_-1647475,,13,4,,3000
122,Celery-root-soup-334074,,7,4,,3900
123,Sopa-de-Fideos-1609515,900.0,9,4,900.0,1800
124,Vegetable-medley-soup-298787,,6,6,,1800
125,Broccoli-Cheese-Soup-1611368,1200.0,12,4,1200.0,2400
126,Potato-Ham-Chowder-638021,1800.0,12,4,900.0,2700
127,Quick-Chicken-Tortellini-Soup-494682,,5,4,,900
128,Easy-Matzo-Ball-Soup-1595033,,8,4,,4800
129,Coconut-lime-soup-303171,,7,5,,1200
130,Broccolini-Spring-Onion-Soup-510542,1500.0,9,4,600.0,2100
131,Creamy-Lemon-Chicken-Soup-1689254,,17,6,,5400
132,Creamy-Crock-Pot-Chicken-Wild-Rice-Soup-1381282,21600.0,15,8,600.0,22200
133,Chilled-Cantaloupe-Soup-1280392,,7,4,600.0,600
134,Green-Soup-1602970,,10,4,,1500
135,Chicken-Slippery-Noodle-Soup-1643451,,12,5,,2400
136,Roasted-Red-Pepper-Soup-Naturally-Ella-46309,,9,2,,2400
137,Panera-Black-Bean-Soup-1343298,,11,5,,2400
138,Simple-Chicken-Noodle-Soup-Martha-Stewart,,6,8,600.0,3300
139,Amazing-Pureed-Corn-Soup-1612582,,4,4,,1500
140,Cauliflower-Soup-984745,,13,8,,3000
141,White-Bean-and-Kale-Soup-1041225,,8,4,,2400
142,40-Cloves-of-Garlic-Soup-1220120,,11,4,,5100
143,Asparagus-Soup-1214553,1200.0,12,8,600.0,1800
144,Carrot-Orange-_-Ginger-Soup-1696282,1800.0,16,8,900.0,2700
145,Spring-Detox-Soup-_vegan_-1234867,,13,4,,2700
146,Dilled-Potato-Soup-1066969,,5,4,,2100
147,Brainy-Broccoli-Soup-981569,,11,4,,1800
148,Lentils-With-Yogurt-Soup-1358718,2700.0,12,2,300.0,3000
149,Asian-Dumpling-Soup-with-Edamame-and-Watercress-1088032,,6,4,600.0,600
150,Asian-Chicken-Noodle-Soup-1640106,,11,4,300.0,1500
151,French-Onion-Soup-In-The-Soup-Maker-1521591,1500.0,10,4,300.0,1800
152,Asparagus-Soup-1685261,2700.0,11,4,300.0,3000
153,Carrot-ginger-soup-347490,,4,4,,1800
154,Corn-Chowder-with-Chilies-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41223,,11,8,,2700
