,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Coconut-chicken-soup-345533,,10,4,,1800.0
1,Okra-Soup-1707002,,17,4,,3900.0
2,Vegetable-_-Bean-Soup-1634117,,11,4,,3900.0
3,Ancho-Chili-Beef-_-Vegetable-Soup-1540464,,11,8,,7200.0
4,Czech-Garlic-Soup-1625779,,8,7,,2100.0
5,Beet-and-Sweet-Potato-Soup-1688529,900.0,12,4,,1500.0
6,Creamy-Tomato-Soup-_Gluten-Free_-1695934,,9,4,,2700.0
7,Creamy-Roasted-Garlic-White-Bean-Soup-1679560,3600.0,11,4,900.0,4500.0
8,Tom-Ka-Soup-567999,,7,4,,2100.0
9,Cold-Yogurt-Cucumber-Soup---Tarator-1072880,,8,4,600.0,600.0
10,Roasted-Broccoli_-Leek-and-Kale-Soup-1707682,,14,6,,3300.0
11,Bacon-Cheeseburger-Soup-1689325,,16,8,,4500.0
12,Red-Potato-Soup-Naturally-Ella-46388,,7,6,,2700.0
13,44-Clove-Garlic-Soup-with-Parmesan-Cheese-902508,,10,4,,4500.0
14,Shrimp-stock-recipe-Italian-way-1702425,6000.0,13,4,600.0,6600.0
15,Mom_s-Chilly-Day-Cheese-Soup-1374478,,9,4,,2700.0
16,Homemade-Onion-Soup-Mix-1045102,,6,4,,1200.0
17,Corn-Chowder-Simply-Recipes-43122,,13,4,,3900.0
18,Lasagna-soup-350887,3300.0,18,4,300.0,3600.0
19,Farmers-Market-Chowder-1683632,,12,6,,3300.0
20,Kale-_-Sausage-Soup-_Clean-Eating_-1240893,,7,4,,2400.0
21,Sweet-Potato_-Chilli-And-Lime-Soup-1099076,,7,4,,2100.0
22,Ravioli-and-Meatball-Soup-With-Garlic-Bread-Croutons-1696295,,17,8,,4800.0
23,Spicy-Roasted-Tomato-Soup-1688518,3600.0,14,4,,4200.0
24,Cozy-Turkey-and-Pepper-Soup-772093,,15,6,600.0,4500.0
25,Slow-Cooker-Ratatouille-Soup-1679007,,13,8,600.0,22200.0
26,Butternut-Squash-_-Kale-Soup-1633026,2100.0,8,4,600.0,2700.0
27,Easy-Pea-Soup-with-Lemon-and-Thyme-1642400,,11,3,,1200.0
28,Vichyssoise-1200609,3600.0,9,10,900.0,4500.0
29,Chunky-Potato-Soup-1638551,,8,4,,2700.0
30,Mom_s-New-England-Clam-Chowder-485344,,11,8,,4800.0
31,Instant-Pot-Spring-Vegetable-Soup-1687749,,11,4,,2100.0
32,Avgolemono-Soup-Simply-Recipes-287091,1500.0,9,7,600.0,2100.0
33,Creamy-Cauliflower-Soup-Recipe-to-Die-For_-1698275,,16,4,,2700.0
34,Easy-30-Minute-Homemade-Chicken-Tortilla-Soup-1320620,,23,10,,2100.0
35,Creamy-Mushroom-Brie-White-Bean-Soup-1001420,1800.0,16,3,600.0,2400.0
36,Glowing-Spiced-Lentil-Soup-1575109,1200.0,15,7,900.0,2100.0
37,Rustic-cabbage-soup-308880,,10,4,,1800.0
38,Clam-chowder-lightened-up-352238,,13,8,,2700.0
39,Cream-of-broccoli-soup-352460,,10,4,,2700.0
40,Homemade-chicken_-ranch-and-rice-soup-334838,,13,8,,2400.0
41,Carrot-Ginger-Soup-1239883,,7,6,,3600.0
42,Country-Quinoa-Soup-1567082,1500.0,11,4,300.0,1800.0
43,Easy-Vegetable-Chowder-1026097,,12,4,,3000.0
44,Easy-White-Bean-and-Cabbage-Soup-1679793,1800.0,12,4,300.0,2100.0
45,Smokey-Mountain-Kale-_-Sausage-Soup-1696440,,12,4,,3000.0
46,Beetroot-Soup-With-Ginger-1673418,,7,4,,3600.0
47,Creamy-Vegan-Cauliflower-Soup-with-Garlic-_-Rosemary-1569970,,9,4,,2100.0
48,Brothy-beef-shortribs-334443,,8,3,,4800.0
49,Mushroom-Soup-With-Beans_-1698954,,9,4,,2700.0
50,Southwestern-Chicken-Corn-Chowder-1702714,25200.0,14,4,600.0,25800.0
51,13-Bean-Soup-1682837,,11,8,600.0,600.0
52,Green-Papaya-Fish-Soup-__-1683192,1800.0,7,2,900.0,2700.0
53,Broccoli_-Cauliflower-and-Leek-Soup-791799,,8,4,,2400.0
54,Roasted-Tomato-Soup-I-Adore-Food_-200678,3000.0,9,4,300.0,3300.0
55,Easy-Wonton-Soup-1557580,600.0,11,6,600.0,1200.0
56,Egg-Drop-Soup-1253072,,6,2,,1800.0
57,Chunky-Potato-Leek-Soup-1039985,,12,10,,3000.0
58,Simple-Strawberry-Soup-_Cinderellas-Favorite__-471481,,3,4,,1200.0
59,Tomato-Basil-Avocado-Soup-1563661,,9,2,,1200.0
60,Vitamix-Zucchini-Soup-1688823,,12,9,,3300.0
61,Flush-the-Fat-Away-Vegetable-Soup-973789,,14,8,,2700.0
62,Pumpkin-Coconut-Curry-Soup-1619587,,16,7,,5100.0
63,Easy-Homemade-Tomato-Soup-1569739,600.0,11,4,600.0,1200.0
64,Roasted-Butternut-Squash-_-Coconut-Apple-Bisque-1709644,3600.0,15,8,900.0,4500.0
65,How-to-Make-Bone-Broth-1522430,172800.0,7,13,900.0,173700.0
66,Carrot-Ginger-Soup-1073933,,9,4,,2700.0
67,Zesty-Cabbage-Soup-1532986,1200.0,7,4,,1200.0
68,Smoky-Lentil-Sweet-Potato-Soup-1120709,,13,8,,3600.0
69,10-Minute-Creamy-Cauliflower-Soup-988293,,7,4,,1800.0
70,Chicken-Cassoulet-Style-Soup-1627530,25200.0,6,6,1500.0,26700.0
71,Tomato-Parmesan-Slow-Cooker-Soup-967497,,14,8,,4200.0
72,The-Veggie-Stock-1571138,,9,4,,2400.0
73,Vegan-Red-Chile-Posole-with-Chickpeas-1706012,1800.0,21,4,900.0,2700.0
74,Healthy-Cream-of-Asparagus-Soup-1166069,,4,4,,900.0
75,Cabbage-Soup-1187966,,6,4,,2100.0
76,Curried-Carrot-and-Sweet-Potato-Soup-1239145,,10,6,,3300.0
77,Ginger-Carrot-Soup-1567086,,7,4,,3000.0
78,Spicy-Lentil-_-Bean-Soup-1698301,,14,6,,4500.0
79,Pressure-Cooker-Split-Pea-Soup-with-Ham-1688075,,9,4,,3300.0
80,Simple-6-Ingredient-6-Minute-Tomato-Soup-1055620,,7,2,,1500.0
81,Green-Cream-Soup-1641841,900.0,7,3,300.0,1200.0
82,7-Ingredient-Crock-Pot-Black-Bean-Soup-1291235,,8,8,,2400.0
83,Homemade-Zuppa-Toscana-1607142,1500.0,11,7,300.0,1800.0
84,GREEN-CABBAGE-SOUP-with-caramelized-onions_-mushrooms-and-cheese-1571850,7200.0,10,8,1800.0,9000.0
85,Vegan-Quinoa-Corn-Chowder-1688623,1500.0,10,5,,2700.0
86,Borscht-Simply-Recipes-42901,9000.0,12,6,1200.0,10200.0
87,Vegetable-Soup-with-Lentils-_-Seasonal-Greens-1446875,1800.0,18,6,2700.0,4500.0
88,Avgolemono-_Greek-Lemon-Chicken-Soup_-381086,,7,8,,2400.0
89,Wonton-Soup-Martha-Stewart-225657,,7,4,2100.0,2400.0
90,Avocado-Gazpacho-Soup-1682390,,16,4,,1200.0
91,Creamy-Chicken-_-Mushroom-Soup-1710288,,11,6,1200.0,2400.0
92,Creamy-Vegetable-Chowder-1565391,1500.0,13,4,600.0,2100.0
93,Curry-Corn-Chowder-1635430,14400.0,13,4,300.0,14700.0
94,Skinny-Tomato-Basil-Soup-1580006,,10,4,,3300.0
95,Vegetable-Noodle-Soup-1055273,,7,5,,2700.0
96,Slow-cooker-tomato-basil-soup-310039,,10,5,,3600.0
97,Porcini-mushroom-soup-308781,,11,5,,2400.0
98,Homemade-Won-Ton-Soup-1642004,,12,4,,3300.0
99,Carrot-And-Coriander-Soup-565883,1800.0,8,4,1800.0,3600.0
100,Simple-Posole-1169150,,13,6,,3600.0
101,Fat-Burning-Soup-Great-for-the-Flu-Too_-_Dairy-Free_-1247142,,5,4,,1500.0
102,Simple_-Hearty_-Chicken-and-Rice-Soup-1333722,,11,6,,3600.0
103,Roasted-Garlic-Chicken-Soup-1639508,,12,4,,2700.0
104,Garlic-Broth-1251682,3600.0,8,8,,3600.0
105,Slow-Cooker-Chicken-Corn-Chowder-1702742,25200.0,12,4,900.0,26100.0
106,Summer-Minestrone-with-Fresh-Basil-1701965,4800.0,22,7,,4800.0
107,Three-Bean-Soup-1710416,1500.0,16,4,300.0,1800.0
108,Shrimp-Bisque-1286453,,12,4,,4200.0
109,Beef-barley-soup-352595,,11,5,,6300.0
110,Fast-French-Onion-Soup-Martha-Stewart,,6,4,,1800.0
111,Potato-and-Onion-Soup-Recipe-1_6-Litre-1603378,1260.0,4,5,600.0,1860.0
112,Mustikkakeitto-_Finnish-Blueberry-Soup_-442024,,7,4,,1800.0
113,Creamless-Cream-of-Asparagus-Soup-1570005,900.0,10,6,600.0,1500.0
114,Sweet-on-Corn--Old-Fashioned-Corn-Chowder-1663206,,10,4,,4200.0
115,Baked-potato-soup-299585,,6,6,,1500.0
116,Easy-Cheesy-Potato-Soup-1602705,,8,4,,3300.0
117,How-to-Make-Vegetable-Broth-1686655,,13,4,,4200.0
118,Curried-sweet-potato-soup-310342,,9,2,,2700.0
119,Turkey-barley-soup-310067,,11,10,,6300.0
120,Last-Minute-Black-Bean-Soup-1059724,,11,4,,1500.0
121,Easy-Crock-Pot-White-Bean-and-Ham-Soup-1629847,,9,3,,1500.0
122,CrockPot-Broccoli-and-Three-Cheese-Soup-1706059,,8,4,,2100.0
123,Sweet-and-Spicy-Turkey-Curry-Soup-1699179,,20,4,,3900.0
124,Super-Easy-Chicken-Fajita-Soup-1077765,1500.0,18,5,1500.0,3000.0
125,Taco-Soup-1600850,,20,4,,3000.0
126,Chicken-Corn-Soup-1013926,,10,4,,1500.0
127,Avgolemono-1019867,,8,4,,2400.0
128,Spicy-Chicken-Soup-679471,,13,4,,2100.0
129,Le-virtu-_Abruzzese-Minestrone_-1705162,,23,8,,10800.0
130,Chickpea-_Garbanzo-Bean_-Soup-Recipe-with-Spinach_-Tomatoes_-and-Basil-1455421,,11,6,,3900.0
131,Roasted-Tomato-Basil-Soup-1068132,,9,7,,6300.0
132,My-Mama_s-Fish-Chowder-1266317,2700.0,10,4,900.0,3600.0
133,Immune-Soup-_Paleo_-1539533,,11,4,,2700.0
134,Magic-Potato-Soup-932849,,6,4,,1800.0
135,Tomato-Tortellini-Soup-1051144,,5,4,,900.0
136,10-Minute-Paleo-Tomato-Soup-1006193,,7,4,,1200.0
137,Carrot_-Cumin-and-Ginger-Detox-Soup-1306755,,7,4,,4500.0
138,The-Best-Cheeseburger-Soup-1695062,,16,6,,3000.0
139,Freezer-Friendly-Tomato-Basil-Bisque-1699813,,9,3,,3300.0
140,Celery-Soup-1614303,,8,6,,2700.0
141,Chicken-Rice-Soup-677041,,9,6,,4800.0
142,Miso-Soup-578708,300.0,6,4,300.0,600.0
143,Caramelized-Onion-Chicken-Soup-485776,,5,4,,3300.0
144,Miso-Soup-1231204,600.0,4,4,300.0,900.0
145,Egg-Drop-Soup-Serious-Eats-42183,,8,4,,3300.0
146,Ultimate-chickpea-noodle-soup-308837,,5,4,,3600.0
147,Quick-Egg-Drop-Soup-1117779,,8,4,,1500.0
148,Zucchini-Garlic-Soup-637126,,8,4,,4200.0
149,Homemade-Chicken-Stock-1327189,10800.0,8,10,,10800.0
150,Spicy-Thai-Curry-Noodle-Soup-985817,,11,4,,3000.0
151,Spiced-Coconut-Lentil-Soup-511784,3600.0,15,4,1200.0,4800.0
152,Roasted-Tomato-Soup-514544,,12,4,,3000.0
153,Healthy-Green-Soup-In-The-Soup-Maker-1521690,1500.0,10,4,600.0,2100.0
154,Sausage-and-Kale-Soup-1603192,,13,9,,3300.0
155,Cheddar-Corn-Soup-That-Will-Warm-Your-Heart-_And-Your-Tummy_-1192645,600.0,7,4,300.0,900.0
156,Creamy-Multiple-Mushroom-Soup-1090569,2400.0,14,9,1200.0,3600.0
157,Mexican-Beer-Cheese-Soup-1619518,,12,8,,3000.0
158,Potato-Leek-Soup-in-a-Crockpot-783261,,6,4,,2700.0
159,Pumpkin-Coconut-Soup-1014291,1500.0,6,4,300.0,1800.0
160,Creamy-Parmesan-Tomato-and-Spinach-Tortellini-Soup-748763,1200.0,15,4,600.0,1800.0
161,Vegan-Miso-Soup-with-Boy-Choy-and-Mushrooms-633483,,6,2,,2100.0
162,Cheeseburger-Soup-1637840,21600.0,16,10,600.0,22200.0
163,Hearty-White-Bean-Soup-1260755,28800.0,12,4,1800.0,30600.0
164,Clam-Soup-_Clam-Miso-Soup_-1684840,300.0,7,2,300.0,600.0
165,Drunken-Potato-_-Kale-Soup-1305764,,10,8,,2700.0
166,Creamy-Tomato-Basil-Soup-1000934,1800.0,8,8,600.0,2400.0
167,5-Minute-Keto-Egg-Drop-Soup-1170093,,5,1,,2100.0
168,Sweet-Summer-Yellow-Tomato_-Corn-_-Pepper-Gazpacho-1683294,,7,4,,1800.0
169,Country-noodle-soup-299033,,7,6,,1560.0
170,Jamaican-Spiced-Corn-Soup-1022212,,14,6,,4200.0
171,French-lentil-and-vegetable-soup-with-bacon-310651,,14,6,,3600.0
172,Pea-Parmesan-Soup-1694848,,11,8,,3900.0
173,CrockPot-Chicken-Noodle-Soup-1693304,,13,4,,3000.0
174,Slow-Cooker-Chicken-Broth-1696017,43200.0,8,4,,43200.0
175,Hot-and-Sour-Soup-1699344,,14,6,900.0,2400.0
176,Cream-of-Asparagus-Soup-1592892,2100.0,5,4,1200.0,3300.0
177,Slow-Cooker-Lemon-Ginger-Sipping-Broth-1114038,28800.0,8,6,600.0,29400.0
178,Seafood-Bisque-1008662,1200.0,9,4,300.0,1500.0
179,Smoky-tomato-lentil-soup-with-spinach-_-olives-336290,,12,7,,3900.0
180,Vegan-Miso-Ramen-Soup-1124620,,6,1,,1500.0
181,Guinness-french-onion-soup-351265,6300.0,15,4,900.0,7200.0
182,Creamy-Broccoli-Soup-THM-S-1305577,,10,4,,2400.0
183,My-Delicious-Cabbage-Soup-1521637,1500.0,8,3,120.0,1620.0
184,Slow-Cooker-French-Onion-Soup-992072,14400.0,7,5,1800.0,16200.0
185,Slow-Cooker-Beef-Barley-Soup-1365379,15600.0,14,7,1200.0,16800.0
186,Simple-Butternut-Squash-Soup-1533184,,9,4,,4800.0
187,Creamy-Cauliflower-Soup-with-Bacon-and-Gorgonzola-514157,,5,4,,1200.0
188,Broccoli-Cheese-Soup-1455649,2700.0,11,10,900.0,3600.0
189,Thai-Coconut-Soup-1045980,,9,4,,1800.0
190,Senate-Bean-Soup-441160,,6,4,,4500.0
191,Roasted-Bell-Pepper-Soup-1193217,2700.0,5,4,600.0,3300.0
192,Lady-Gaga_s-Tomato-Fennel-Soup-379567,,10,4,,1800.0
193,Castilian-Garlic-Soup-1681419,,9,4,,2400.0
194,Couscous-Minestrone-Soup-1617219,2400.0,15,6,600.0,3000.0
195,Cherry-Nectarine-Gazpacho-1703980,,23,8,600.0,4200.0
196,Coconut-Corn-Soup---_glutenfree-_vegan-1182213,,7,4,,1800.0
197,SuperFood-Keto-Soup-1677873,600.0,12,6,,1200.0
198,My-Mom_s-Old-Fashioned-Vegetable-Beef-Soup-1613824,3600.0,12,4,,3600.0
199,Cream-of-Zucchini-Soup-1574421,,8,4,,2400.0
200,Chicken-Barley-Soup-1640151,,11,14,,5400.0
201,Potato-Leek-Soup-760408,,11,6,,3600.0
