,id,rating,recipeName,sourceDisplayName
0,Mediterranean-chicken-with-olives-303746,4,Mediterranean Chicken With Olives,Mizkan Brand
1,Rotelle-With-Feta_-Chopped-Tomatoes-And-Olives-Recipezaar,3,"Rotelle With Feta, Chopped Tomatoes and Olives",Food.com
2,Mediterranean-Baked-Halibut-Recipezaar,3,Mediterranean Baked Halibut,Food.com
3,Mediterranean-pasta-_-chicken-296743,4,Mediterranean Pasta & Chicken,Mizkan Brand
4,Gemelli-with-Feta_-Mint-and-Olives-1153544,3,"Gemelli with Feta, Mint and Olives",Good Housekeeping
5,Greek-Chicken-Thighs-MyRecipes-240071,3,Greek Chicken Thighs,MyRecipes
6,Mediterranean-Trout-In-A-Parcel-Recipezaar,4,Mediterranean Trout in a Parcel,Food.com
7,Fish-Sauteed-With-Spicy-Tomatoes-And-Olives-Recipezaar,3,Fish Sauteed With Spicy Tomatoes and Olives,Food.com
8,Mediterranean-Roasted-Chicken-Recipezaar,3,Mediterranean Roasted Chicken,Food.com
9,Greek-Pasta-With-Tomatoes-And-White-Beans-My-Recipes,3,Greek Pasta With Tomatoes and White Beans,MyRecipes
10,Marvelous-Mini-Meatloaves-Mediterranean-Style-Recipezaar,4,Marvelous Mini Meatloaves Mediterranean Style,Food.com
11,Mediterranean-Shrimp-With-Garlic-Chips-Recipezaar,4,Mediterranean Shrimp With Garlic Chips,Food.com
12,Leg-Of-Lamb_boneless_greek-Style-Recipezaar,4,Leg of Lamb-Boneless-Greek Style,Food.com
13,Mediterranean-Vegetable-Stew-Recipezaar,3,Mediterranean Vegetable Stew,Food.com
14,Mediterranean-Beef-Stew-_crock-Pot_-Recipezaar,2,Mediterranean Beef Stew (Crock Pot),Food.com
15,Mediterranean-Pasta-With-Chicken-Recipezaar,4,Mediterranean Pasta With Chicken,Food.com
16,Mediterranean-Chicken-Recipezaar_9,3,Mediterranean Chicken,Food.com
17,Feta-crusted-Lamb-With-Coriander-And-Raisin-Couscous-1024329,3,Feta-crusted Lamb With Coriander And Raisin Couscous,BBC
18,Greek_style-Chicken-And-Mushrooms-Epicurious,4,Greek-Style Chicken and Mushrooms,Epicurious
19,Mediterranean-Seafood-Grill-with-Skordalia-1540379,3,Mediterranean Seafood Grill with Skordalia,Health
20,Greek-Chicken-Food_com-126355,4,Greek Chicken,Food.com
21,Shrimp-and-Lemon-Skewers-with-Feta-Dill-Sauce-1292259,3,Shrimp and Lemon Skewers with Feta-Dill Sauce,Food & Wine
22,Creamy-mediterranean-chicken-over-couscous-298361,4,Creamy Mediterranean Chicken Over Couscous,Unilever North America
23,Mediterranean-pasta-with-eggplant-_-shrimp-296634,4,Mediterranean Pasta With Eggplant & Shrimp,Mizkan Brand
24,Mediterranean-Chicken-Couscous-Recipezaar,4,Mediterranean Chicken Couscous,Food.com
25,Mediterranean_style-Marinated-Fish-_or-Chicken_-Fillets-Recipezaar,4,Mediterranean-Style Marinated Fish (Or Chicken!) Fillets,Food.com
26,Marinated-Mediterranean-Fish-Fillets-Recipezaar,4,Marinated Mediterranean Fish Fillets,Food.com
27,Mediterranean-style-Grilled-Salmon-1619253,3,Mediterranean-style Grilled Salmon,Mayo Clinic
28,Mediterranean-Pasta-Recipezaar_4,3,Mediterranean Pasta,Food.com
29,Mediterranean-pizza-299797,4,Mediterranean Pizza,Mizkan Brand
30,Mediterranean-Vegetable-Pie-Recipezaar_2,3,Mediterranean Vegetable Pie,Food.com
31,Rib-Eye-Steaks-With-Mediterranean-Marinade-Food_com-121595,4,Rib-Eye Steaks With Mediterranean Marinade,Food.com
32,Lamb-Chops_-Calabrese_-With-Tomatoes_-Peppers-And-Olives-Recipezaar,4,"Lamb Chops, Calabrese, With Tomatoes, Peppers and Olives",Food.com
33,Greek-Pizza-With-Chicken_-Feta-And-Olives-Recipezaar,4,"Greek Pizza With Chicken, Feta and Olives",Food.com
34,Mediterranean-Lemon-Chicken-Recipezaar,3,Mediterranean Lemon Chicken,Food.com
35,Greek-Style-Shrimp-and-Cannellini-Beans-1156534,3,Greek-Style Shrimp and Cannellini Beans,Good Housekeeping
36,Greek-Ziti-Recipezaar,4,Greek Ziti,Food.com
37,Greek_style-Marinated-Mahi-Mahi-Recipezaar,4,Greek-Style Marinated Mahi Mahi,Food.com
38,Greek_style-Snapper-Recipezaar,4,Greek-Style Snapper,Food.com
39,Mediterranean-Pasta-with-Tomatoes-and-Arugula-1156910,3,Mediterranean Pasta with Tomatoes and Arugula,Good Housekeeping
40,Greek-Pasta-with-Shrimp-Food_com-62644,4,Greek Pasta with Shrimp,Food.com
41,Mediterranean-style-Grilled-Salmon-979822,4,Mediterranean-style Grilled Salmon,The Dash Diet
42,Mediterranean-Chicken-Parcels-Recipezaar,4,Mediterranean Chicken Parcels,Food.com
43,Easy-Greek-Chicken-Recipezaar,3,Easy Greek Chicken,Food.com
44,Greek-Stuffed-Bell-Peppers-Recipezaar,4,Greek Stuffed Bell Peppers,Food.com
45,Mediterranean-Beef-Stew-MyRecipes-218338,4,Mediterranean Beef Stew,MyRecipes
46,Linguine-With-Chicken_-Spinach-And-Feta-Recipezaar,4,"Linguine With Chicken, Spinach and Feta",Food.com
