,id,Barbecue,Game Day,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch
48,Greek-Style-Pizza-My-Recipes,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
49,Simple-Mediterranean-Grilled-Chicken-Recipezaar,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
50,Mediterranean-Marinade-Food_com-104571,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
51,Mediterranean-Catfish-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
52,Greek-Style-Rotisserie-Boneless-Leg-Of-Lamb-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0
53,Slow-Cooked-Greek-Pork-Food_com-91311,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
54,Greek-Tilapia-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
55,Kittencal_s-Greek-Souvlaki-_grilled-Skewered-Lamb-Or-Pork_-Recipezaar,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
56,Chicken-Mediterranean-For-Two-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
57,Mediterranean-Pasta-MyRecipes-214262,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
58,Kraft-Mediterranean-Chicken-Food_com-183439,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
59,Greek-Style-Scampi-Food_com-89135,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
60,Mediterranean-Shrimp-Pasta-Food_com-114439,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
61,Baked-Mediterranean-Salmon-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
62,Mediterranean-Chicken-MyRecipes-265265,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
63,Greek-Scampi-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
64,Grilled-Greek-Chicken-Breasts-RecipeZaar-59246,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
65,Greek-Roast-Leg-Of-Lamb-With-Potatoes-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0
66,Mediterranean-Grill-Recipezaar,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
67,Mediterranean-Tilapia-_Weight-Watchers-4-Points_-Food_com-179900,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
68,Mediterranean-Pizza-With-Caramelized-Onions-Food_com-120724,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
69,Mediterranean-Scallops-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
70,Mediterranean_style-Snapper-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
71,Greek_style-Stuffed-Bell-Peppers-_light_-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
