,id,Barbecue,Breads,French,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch,Turkish
42,Roasted-Mediterranean-Shrimp-with-Quinoa-1698385,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
43,_One-Pan_-Mediterranean-Chicken-Skillet-1178995,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
44,Lamb-Burgers-1690519,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
45,One-Pot-Mediterranean-Quinoa-with-Spinach-_-Chickpeas-1625325,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
46,Greek-Pizza-1576869,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
47,Mediterranean-Mahi-Mahi-Two-Ways-1631285,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
48,Pasta-with-Shrimp_-Artichokes-and-Feta-1619318,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
49,Greek-Brown-Rice-Bowls-1561418,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
50,Mediterranean-Stuffed-Chicken-Breasts-MyRecipes-245700,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
51,Mediterranean-Pasta-1629038,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
52,Greek-Shrimp-and-Spinach-Pasta-1065162,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
53,Greek-Marinated-Grilled-Chicken-1212656,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
54,Greek-pizza-333514,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
55,Greek-Yogurt-Chicken-1538303,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
56,Greek-Lemon-Chicken-Skewers-with-Tzatziki-Sauce-1189750,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
57,Greek-Orzo-with-Spinach_-Olives-and-Feta-1595887,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
58,Greek-garlic-oregano-roasted-chicken-dinner-299218,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
59,Mediterranean-Style-Salmon-1210085,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
60,Slow-Cooked-Mediterranean-Chicken-460064,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
61,Mediterranean-Chricken-Kebabs-1121881,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
62,Yogurt-marinated-chicken-_-creamy-greek-sauce-308290,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
63,Grilled-Mediterranean-Lamb-Chops-1234984,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
