,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
74,Greek-Lasagna-Vegetarian-Food_com-63966,3000.0,16,8,3000.0,6000
75,Greek-Pizza-Food_com-68005,,11,8,900.0,1500
76,Greek-Lamb-Chops-and-Mint-Yogurt-Sauce-Food_com-67774,240.0,12,4,900.0,1140
77,Mediterranean-Pasta-With-Fire-Roasted-Tomatoes-Food_com-138443,3000.0,8,6,600.0,3600
78,Chicken-With-Tomato-And-Feta-Cheese-Recipezaar,2100.0,10,4,600.0,2700
79,Greek-Style-Penne-Pasta-With-Lamb-and-Vegetables-Food_com-187380,1800.0,10,6,900.0,2700
80,Cod-With-Tomatoes_-Olives_-And-Capers-Recipezaar,1800.0,11,4,600.0,2400
81,Pasta-With-Uncooked-Tomatoes_-Basil_-Capers_-Olives-and-Feta-Food_com-169814,1800.0,10,4,600.0,2400
82,Mediterranean-Chicken-Breasts_-Homemade-Gourmet-Recipezaar,1800.0,8,7,600.0,2400
83,Mediterranean-Chicken-Recipezaar_8,1800.0,8,4,600.0,2400
84,Mediterranean-Chicken-Breasts-With-Tomatoes-And-Olives-Recipezaar,1200.0,9,5,1200.0,2400
85,Baked-Mediterranean-Chicken-Recipezaar,1500.0,8,4,900.0,2400
86,Greek-Lamb-With-Spinach-And-Orzo-Recipezaar,28800.0,10,7,900.0,29700
87,Greek_style-Shrimp-Epicurious,,8,2,,2100
88,Mediterranean-Pasta-With-Fire-Roasted-Tomatoes-Food_com-180514,2700.0,9,5,1200.0,3900
89,Mediterranean-Roasted-Snapper-My-Recipes,,7,4,,1500
90,Mediterranean-Penne-And-Sausage-My-Recipes,,8,8,,3600
91,Mediterranean-Kabobs-MyRecipes-242416,,7,6,,3300
92,Mediterranean-Chicken-Bake-Food_com-165463,6300.0,13,5,900.0,7200
93,Mediterranean-Chickpeas-With-Vegetables-My-Recipes,,13,4,,2400
94,Mediterranean-Pasta-With-Fire-Roasted-Tomatoes-Recipezaar_1,2700.0,9,6,600.0,3300
95,Chicken-With-Olives-Recipezaar,900.0,11,4,900.0,1800
96,Grilled-Greek-Snapper-Over-Sauteed-Spinach-Recipezaar,900.0,11,4,900.0,1800
97,Greek-Tacos-Recipezaar_1,1800.0,10,6,,1800
98,Mediterranean-Chicken-With-Pepperoncini-And-Kalamatas-Recipezaar,21600.0,11,4,1200.0,22800
99,Salmon-With-Mediterranean-Salsa-Recipezaar,1200.0,8,4,600.0,1800
100,Mediterranean-Onion-Tart-Recipezaar,1200.0,7,8,1500.0,2700
101,Spanakorizo-_A-Greek-Spinach-Risotto_-Food_com-114319,1500.0,16,4,1200.0,2700
102,Mediterranean-Pasta-575948,7200.0,21,4,1800.0,9000
103,Mediterranean-Tuna-And-Rice-Pie-Recipezaar,3000.0,11,8,1800.0,4800
104,Lamb-Skewers-_Greek_-Food_com-118120,,8,4,900.0,1500
105,Mediterranean-Chicken-With-Potatoes-Recipezaar,2700.0,18,8,,2700
106,Mediterranean-Chicken-Paella-Recipezaar,1500.0,16,4,1200.0,2700
107,Greek-Yogurt_honey-Braised-Lamb-Recipezaar,10800.0,10,6,32400.0,43200
108,Cod-With-Mediterranean-Salsa-Food_com-73371,480.0,15,4,600.0,1080
109,Lamb-Chops-With-Yogurt_mint-Sauce-Epicurious,,6,4,1200.0,2100
110,Red-Snapper-With-Tomato-And-Olives-Recipezaar,,12,10,1800.0,1800
111,Mediterranean-Risotto-_with-Other-Influences_-Recipezaar,3000.0,16,5,1200.0,4200
112,Mediterranean-Turkey-Rice-Bake_-Crock-Pot-Recipezaar,21600.0,17,6,900.0,22500
113,Mediterranean-Chicken-Recipezaar_5,1500.0,9,4,600.0,2100
114,Greek-Chicken-Breasts-Food_com-66890,,11,4,900.0,3600
115,Greek-Style-Pizza-Recipezaar,3600.0,10,1,1380.0,4980
116,Greek-Chicken-Cutlets-Recipezaar,300.0,8,4,900.0,1200
117,Mediterranean-Marinated-Shrimp-1155289,,11,12,900.0,900
118,Greek-Cheeseburgers-1154439,,13,4,,1800
119,Mediterranean-Rub-My-Recipes,,6,1,,1800
120,Mediterranean-Chicken-And-Pasta-Recipezaar,1800.0,11,3,600.0,2400
121,Kittencal_s-Greek-Lamb-And-Feta-Meatballs-_keftedakia_-Recipezaar,1200.0,12,16,86400.0,87600
122,Linguine-With-Fresh-Tomatoes_-Olives_-and-Feta-Cheese-Food_com-127642,600.0,9,4,1200.0,1800
123,Mediterranean-Pork-and-Orzo-Food_com-79094,1200.0,9,6,600.0,1800
124,Greek-Spiced-Baked-Shrimp-Recipezaar,1200.0,11,6,600.0,1800
125,Greek-Chicken-With-Olives-And-Potatoes-Recipezaar,3600.0,12,5,900.0,4500
126,Mediterranean-Chicken-Recipezaar_3,2400.0,15,7,600.0,3000
127,Greek-Pasta-Recipezaar,1800.0,8,4,600.0,2400
128,Mediterranean-Fish-Casserole-Recipezaar,3600.0,12,4,600.0,4200
129,Greek-Feta-Bows-Recipezaar,600.0,8,4,300.0,900
130,Mediterranean-Pork-Chops-Food_com-172864,900.0,19,4,900.0,1800
131,Mediterranean-Beef-Recipezaar,7200.0,15,4,600.0,7800
132,Greek-Lamb-Pilaf-Food_com-64501,1800.0,12,4,300.0,2100
133,Slow-cooker-mediterranean-chicken-thigh-stew-316111,,8,6,,2100
134,Mediterranean-Tuna_noodle-Casserole-Recipezaar,3300.0,11,8,2100.0,5400
135,Greek-Style-Pasta-With-Shrimp-And-Feta-Recipezaar,2700.0,11,4,1800.0,4500
136,Linguine-With-Tomatoes_-Olives_-Feta_-And-Parsley-Recipezaar,1800.0,9,4,1800.0,3600
137,Mediterranean-Baked-Cod-1157680,840.0,8,4,,840
138,Mediterranean-Skillet-Cod-_South-Beach-Diet-Phase-1_-Food_com-134152,1800.0,10,4,900.0,2700
139,Greek-Style-Grilled-Lamb-Food_com-62847,,10,6,86400.0,86400
140,Mediterranean-Meatloaf-Recipezaar,2700.0,9,7,600.0,3300
141,Mediterranean-Pork-Stew-Recipezaar,,11,6,1200.0,33600
142,Mediterranean-Chicken-and-Chickpeas-1044424,,9,6,300.0,3900
143,Greek-Pasta-Recipezaar_4,,8,4,1500.0,1500
144,Greek-Shrimp-With-Feta-Cheese-Recipezaar,600.0,9,2,420.0,1020
145,Mediterranean-Chicken-with-Soft-Polenta-1156565,2400.0,16,4,900.0,3300
146,Slow-Cooker-Mediterranean-Chicken-Stew-Food_com-150054,14400.0,9,4,900.0,15300
147,Packet-Chicken-Mediterranean-Style-Recipezaar,1800.0,14,4,600.0,2400
148,Greek-Lamb-Turkey-Burgers-Recipezaar,720.0,8,6,600.0,1320
149,Mediterranean-Chicken-With-Sun_dried-Tomatoes-And-Olives-Recipezaar,2400.0,9,4,300.0,2700
150,Mediterranean-Style-Red-Snapper-Food_com-110142,1200.0,13,4,600.0,1800
151,Baked-Mediterranean-Tilapia-Recipezaar,,9,4,1800.0,2520
152,Mediterranean-Chicken-and-Grape-Skewers-Food_com-116114,600.0,11,4,14400.0,15000
153,Sarasota_s-Crockpot-Eggplant-Mediterranean-Food_com-98134,14400.0,17,5,600.0,15000
154,Greek-Chicken-Recipezaar_7,2100.0,8,4,300.0,2400
155,Mediterranean_style-Baked-Tilapia-Recipezaar,,12,2,1500.0,1500
156,Greek-Lasagna-Toss-with-Tomatoes_-Shrimp-and-Feta-1152043,1200.0,9,4,600.0,1800
157,Mediterranean-Pork-With-Orzo-Recipezaar,1200.0,10,6,600.0,1800
158,Mediterranean-Chicken-Food-Network,,10,2,,2100
159,Mediterranean-Beef-Toss-Food_com-79007,,13,4,300.0,1500
160,Greek-Pizza-Recipezaar,720.0,9,8,1500.0,2220
161,Greek-Roasted-Tilapia-Fillets-_Low-Fat_-Food_com-114205,,9,2,1200.0,2220
162,Mediterranean-Sea-Bass-With-Fennel-And-Pernod-Recipezaar,420.0,10,2,1200.0,1620
