,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
87,Blueberry-Overnight-Oats-1696091,,5,2,600.0,600
88,Mini-Ham-Cheese-and-Spinach-Breakfast-Pies-1597129,1200.0,13,4,600.0,1800
89,French-Toast-Casserole-1699965,,10,8,,3900
90,Lemon-Raspberry-French-Toast-Casserole-1549551,,9,6,,4500
91,Heavenly-Hots-1699205,,7,28,,1500
92,Breakfast-Nibbles-with-Chocolate-1570699,,7,4,,1200
93,Whole-Wheat-Raspberry-Kefir-Sourdough-Pancakes-1713197,1800.0,9,5,46800.0,48600
94,French-Crepes-1578971,1800.0,6,4,300.0,2100
95,Lemon-Ricotta-Pancakes-with-Lemon-Ricotta-Cream-1709589,720.0,6,4,600.0,1320
96,Old-Fashioned-Pancakes-1657395,,8,6,,1200
97,Chipotle-Egg-Tacos-1697294,,14,4,,1800
98,Breakfast-Omelets-1633625,,10,4,,1800
99,Maple-Breakfast-Sausage-1712038,600.0,5,5,300.0,900
100,Bacon-Breakfast-Pizza-1621152,,6,12,,1800
101,Vanilla-Cardamom-French-Toast-1689282,,8,4,,1200
102,Easy-Sheet-Pan-Breakfast-Stacks-1690123,,9,4,,3000
103,Vegan-Latte-French-Toast-1700760,,5,4,,3000
104,Banana-Pancakes-1711962,,4,4,,1200
105,BRAZILIAN-FLAIR-TAPIOCA-WAFFLES-1700612,,5,4,,2100
106,Kentucky-Hot-Brown-Bake-1699099,,6,9,,3600
107,Apple-Cinnamon-Slow-Cooker-Oatmeal-with-Truvia-Brown-Sugar-Blend-746837,,10,6,,2100
108,Dietary-Pancakes-To-Yogurt_-1711601,,4,4,,1500
109,Vegan-Pancake-1703191,600.0,7,2,600.0,1200
110,Blueberry-Pie-Overnight-Oats-1709531,,5,1,600.0,600
111,Breakfast-Creme-Brulee-1703823,,4,4,,1200
112,Hash-Brown-Cups-1689300,,5,12,,3900
113,Blueberry-Chia-Overnight-Oats-1706867,,7,2,300.0,300
114,Blueberry-French-Toast-Sticks-1611523,,8,4,,1500
115,Easy-Spinach-Pepper-Egg-Muffins-1621126,1500.0,7,5,600.0,2100
116,Foolproof-Poached-Eggs-1677802,,4,4,,1500
117,Low-Carb-Microwave-Hamburger-Bun-1711433,,7,1,,2100
118,Chocolate-Oatmeal-Breakfast-Bowl-1705127,180.0,16,2,120.0,300
119,Skinny-Overnight-Oats-in-a-Jar-1604798,,8,4,,900
120,Crispy-Hash-Brown-Waffles-1706717,1500.0,5,2,900.0,2400
121,Chunky-Monkey-Overnight-Oats-1690201,14400.0,11,2,300.0,14700
122,Creamy-Coconut-Oatmeal-1690040,900.0,10,2,120.0,1020
123,Overnight-Oats-1624858,,11,4,,900
124,Blueberry-Jam-1707735,,5,24,,2100
125,Breakfast-Sweet-Potat-Oats-1681131,,8,4,,900
126,FRENCH-TOAST-BAKE-1640982,,7,4,,4800
127,Instant-Ice-Cream-You-Can-Eat-for-Breakfast-1686820,,3,1,,300
128,Baked-Egg-With-Prosciutto-and-Tomato-1711028,900.0,6,1,,900
129,Foolproof-Eggs-Benedict-1703566,,11,4,,1800
130,5-Ingredient-Quinoa-Breakfast-Pots-1698919,,5,4,,1500
131,Balanced-Breakfast-1621779,,6,4,,900
132,The-Best-Eggy-French-Toast-with-Berries-1712492,,9,4,,900
133,Tropical-Overnight-Oatmeal-1712764,,6,1,,600
134,Raspberry-Melon-Breakfast-Bowls-1640967,,5,2,600.0,600
135,Quick-and-Easy-French-Toast-1620145,300.0,5,4,300.0,600
136,Berry-Lemon-Baked-Oatmeal-1697551,2700.0,11,5,300.0,3000
137,Easter-Brunch-Baked-Broccoli-Frittata-1563477,,12,6,,3000
138,Baked-Milk-Chocolate-French-Toast-1709691,,11,5,,2100
139,Microwave-Blueberry-Flax-Oatmeal-1711170,120.0,6,1,60.0,180
140,French-Style-Scrambled-Eggs-1682490,,5,2,,1200
141,Cornbread-Pancakes-_-Amazon-Gift-Card-Giveaway-1697222,1200.0,13,3,600.0,1800
142,Baked-Eggs-With-Crispy-Kale-1664608,900.0,7,4,300.0,1200
143,Oat-Waffles-1708003,,8,4,,1800
144,Blueberry-Banana-Bread-Baked-Oatmeal-1695786,,10,9,,3300
145,Grits-and-Sausage-Casserole-1693447,1800.0,7,4,1200.0,3000
146,Apple-Oatmeal-1687284,,6,2,,1800
147,Fluffy-Vegan-Pancakes-_no-bananas__-1687375,600.0,8,2,300.0,900
148,Overnight-Refrigerator-Oatmeal-1586018,,6,4,,900
149,BLUEBERRY-BREAKFAST-BAKE-1711986,,10,4,,4200
150,Homemade-Pancake-Syrup-1691481,420.0,5,4,300.0,720
151,Bananas-Foster-French-Toast-1683972,,7,4,,2100
152,Bacon-Breakfast-Tacos-1713208,600.0,7,3,300.0,900
153,Sausage-Breakfast-Pie-1690158,3300.0,9,6,1200.0,4500
154,Best-Ever-Cinnamon-Toast-1708261,,5,2,,1500
155,4-Ingredient-Seaside-Breakfast-Salad-1635361,600.0,6,2,300.0,900
156,Cowboy-Hash-Brown-Skillet-1710912,,7,4,,2700
157,German-Pancakes-1712465,,5,4,,2100
158,Breakfast-Banana-Splits-1693398,,5,4,,300
159,Best-Buttermilk-Pancakes-1682035,,8,6,,1500
160,Protein-Overnight-Oats-1640909,,9,1,600.0,600
161,French-Toast-Sticks-1705316,1200.0,7,4,300.0,1500
162,Savory-Semolina-Waffles-1702493,,11,4,,1500
163,Overnight-Cinnamon-Roll-Casserole-1685657,2400.0,8,13,900.0,3300
164,Waffles-1578327,,8,12,600.0,600
165,Best-Homemade-Waffle-1679331,600.0,13,4,1500.0,2100
166,On-the-Go-Mason-Jar-Oatmeal-1709532,,14,4,1800.0,1800
167,Easy-Skillet-Breakfast-Potatoes-1696560,1200.0,10,7,600.0,1800
168,French-Toast-Casserole-1705528,,11,14,,4500
169,A-Classic-Breakfast-Idea-1693356,,5,4,,1500
170,Clean-Eating-Chunky-Strawberry-Pancake-Syrup-1711009,,5,4,,3000
171,Easy-Breakfast-Bake-1531110,1500.0,6,6,600.0,2100
172,Breakfast-Calzones-1618441,,6,4,,1800
173,Bacon-Breakfast-Muffins-1643093,,6,4,,2100
174,Apple-Cinnamon-Pancakes-1680204,,10,4,,1500
175,Apple-Carrot-Cake-Pancakes-With-Maple-Cream-Cheese-Topping-781261,900.0,17,2,300.0,1200
176,Cinnamon-Chia-Flax-Protein-Pancakes-_paleo_-GF_-1296164,300.0,8,2,,300
177,My-New-Favorite-Waffle-1683585,,9,4,,1200
178,2--Minute-Low-Carb-English-Muffin-1697908,120.0,7,2,120.0,240
179,Strawberry-Lemon-Poppyseed-Pancakes-1708589,600.0,16,4,1200.0,1800
180,BRAZILIAN-FLAIR-CARROT-PANCAKES-1705277,,12,4,,1500
181,Blueberry-Walnut-Overnight-Oats-1694311,,8,1,,900
182,Cinnamon-Apple-Spiced-Oatmeal-1699951,,4,4,,900
183,Overnight-Oats-1333010,28800.0,7,1,600.0,29400
184,Buttery-Breakfast-Casserole-1705345,,11,9,,3600
185,Brunch-Skillet-Bake-1709503,,6,4,,2700
186,5-Minute-Chocolate-Oatmeal-568037,,8,1,,1200
187,Beauty-Greens-Overnight-Oats-1702933,,10,2,14400.0,14400
188,Potato-and-Egg-Bake-1693731,,7,4,,3900
189,Cheesy-Bacon-_-Egg-Crescent-Ring-1322099,1200.0,7,8,1200.0,2400
190,Breakfast-Stuffed-Peppers-1696360,,9,4,,3600
191,Whole-Wheat-Fluffy-Vegan-Pancakes-1641127,300.0,7,2,600.0,900
192,Chickpea-Flour-_Toast_-1709289,,7,4,,2100
193,Apple-_-Blueberry-Baked-Oatmeal-1699695,,13,4,,3000
194,Overloaded-Oatmeal-1690022,,6,1,300.0,600
195,Asparagus-and-Bacon-1687089,600.0,5,4,300.0,900
196,Fluffy-Cidermilk-Pancakes-1702487,,7,4,,1500
197,Summer-Veggie-Omelette-1707673,,10,2,,1500
198,Basil-_-Spinach-Frittata-Muffins-1708284,,6,2,,2400
199,Basic-Pancake-1573175,600.0,7,4,600.0,1200
200,Baked-Eggs-with-Roasted-Vegetables-1704458,,8,6,1500.0,1500
201,2-Ingredient-Protein-Crepes-1684862,,2,2,,900
202,Blueberry-Delight-Breakfast-Casserole-1702000,3000.0,6,4,600.0,3600
203,Breakfast-__-Acai-Bowl-1627587,,7,4,,600
204,Bacon-and-Eggs-Breakfast-Bake-1696119,1500.0,7,4,300.0,1800
205,Maple-Pecan-Granola-1694959,1800.0,9,8,600.0,2400
206,Strawberry-_-Banana-Overnight-Oats-1030895,,6,2,,1200
207,Baked-Egg-With-Prosciutto-and-Tomato-1684172,900.0,6,1,,900
208,Asparagus-_-Goat-Cheese-Frittata-1705952,,10,6,,1800
209,Gyeran-Mari-_Korean-Egg-Roll_-_-1700870,600.0,7,4,600.0,1200
210,Favorite-Fluffy-Pancakes-1598082,,5,4,,1500
211,Sausage-Gravy-772089,,4,6,1500.0,2100
212,Blueberry-Breakfast-Casserole-1699694,,8,6,,3900
213,Funfetti-Waffles-1704310,900.0,9,6,300.0,1200
214,Sweet-Potato-Breakfast-Hash-_Paleo_-AIP_-Gluten-Free_-1707584,300.0,7,2,600.0,900
215,Cumin-OilFried-Egg-and-Avocado-Toasts-1698822,,7,4,,900
216,BAs-Best-Buttermilk-Pancakes-1711249,,9,4,,1200
217,Smoked-Ham-Omelette-1711328,480.0,6,1,300.0,780
218,Skinny-Apple-German-Pancakes-1680174,,6,4,,3000
219,Berry-Overnight-Oatmeal-1690118,,7,6,,600
220,Gluten-Free-Blueberry-Walnut-Banana-Pancakes-1709982,,9,1,,1500
221,Sweet-Potato-Breakfast-Cups-1686381,,5,6,,2100
222,French-Toast-Fruit-Kabobs-1707862,300.0,13,4,900.0,1200
223,Three-Ingredient-Banana-Pancakes-1022026,,3,1,,1500
224,Creme-Brulee-French-Toast-1624644,1500.0,10,10,44100.0,45600
