,index,Appetizers,Beverages,Breads,Breakfast and Brunch,Cocktails,Condiments and Sauces,Desserts,Lunch,Main Dishes,Salads,Side Dishes,Snacks,Soups
0,25-Minute-Spicy-Mexican-Corn-Skillet-with-Sausage-1234056,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3-Ingredient-Crock-Pot-Chicken-Verde-1180843,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3-Ingredient-Slow-Cooker-Taco-Chicken-988343,0,0,0,0,0,0,0,0,1,0,0,0,0
3,30-Minute-Light-Chicken-Enchiladas-1443588,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4-Ingredient-Salsa-Verde-Chicken-Enchiladas-1425634,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5-Ingredient-Baked-Enchiladas-1306073,0,0,0,0,0,0,0,0,1,0,0,0,0
6,7_-New-Mexico-Chicken-Enchiladas-w_-Creamy-Green-Chile-Sauce-1232115,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Across-The-Border-Tequila-Shrimp-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
8,All-Of-The-Things-You-Love-About-Enchiladas-ButInside-A-Chicken-Casserole-1474662,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Authentic-Homemade-Mexican-Chorizo-641374,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Avocado-Black-Bean-Enchiladas-1036328,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Avocado-Chicken-Enchiladas-1175077,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Aztec-Casserole-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
13,BBQ-Pulled-Pork-Enchiladas-1632971,0,0,0,0,0,0,0,0,1,0,0,0,0
14,BRAZILIAN-FLAIR-NACHOS-1618451,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Baja-Fish-Tacos-1296185,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Baja-Fish-Tacos-1592765,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Baked-Chicken-Breasts-with-Black-Bean-Rice-Pilaf-1067343,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Baked-Chicken-Chimichangas-970686,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Baked-Chicken-Fajitas-1020487,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Baked-Fajitas-1004968,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Baked-Mexican-Pie-1109986,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Barbacoa-Beef-749723,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Barbacoa-Tacos-1095587,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Beef-Brisket-Tacos-771843,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Beef-Brisket-Tacos-995923,0,0,0,0,0,0,0,0,1,0,0,0,0
26,Beef-Burrito-Casserole-538388,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Beef-Burrito-Skillet-1256735,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Beef-Carne-Asada-Soft-Tacos-1290462,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Beef-Chimichangas-1618999,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Beef-Enchilada-Bake-1217435,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Beef-Enchilada-Casserole-793056,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Beef-Enchilada-Zucchini-Boats-1569693,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Beef-Enchiladas-1069467,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Beef-Enchiladas-1412377,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Beef-Flautas-476756,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Beef-Puffy-Tacos-1413785,0,0,0,0,0,0,0,0,1,0,0,0,0
37,Beef-Tacos-Martha-Stewart,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Beef-Tacos-with-Radish-and-Avocado-Salsa-998520,0,0,0,0,0,0,0,0,1,0,0,0,0
39,Beef-and-Bean-Taco-Casserole-967143,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Beefy-and-Cheesy-Low-Carb-Green-Chile-Bake-_Gluten-Free_-977002,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Best-Chicken-Enchiladas-1314589,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Best-Mexican-Style-Shredded-Beef-_Slow-Cooker_-992070,0,0,0,0,0,0,0,0,1,0,0,0,0
43,Best-Slow-Cooker-Carnitas-1233496,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Best-Vegetarian-Enchiladas-Ever_-1070009,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Better-than-Steak-Tacos-_Vegan_-Gluten-Free_-1362001,0,0,0,0,0,0,0,0,1,0,0,0,0
46,Black-Bean-And-Rice-Enchiladas-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
47,Black-Bean-Avocado-Tacos-1598274,0,0,0,0,0,0,0,0,1,0,0,0,0
48,Black-Bean-Enchilada-Quinoa-1509714,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Black-Bean-Enchiladas-1497401,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Black-Bean-Enchiladas-1584399,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Black-Bean-Lasagna-Allrecipes,0,0,0,0,0,0,0,0,1,0,0,0,0
52,Black-Bean-_-Sweet-Potato-Enchiladas-_Grain-free_-Vegan_-578374,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Black-Bean-and-Cheese-Enchiladas-474372,0,0,0,0,0,0,0,0,1,0,0,0,0
54,Black-Bean-and-Goat-Cheese-Enchilada-Skillet-1590719,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Black-bean-and-corn-chicken-taco-bake-365118,0,0,0,0,0,0,0,0,1,0,0,0,0
56,Blackened-Cod-Fish-Tacos-1165891,0,0,0,0,0,0,0,0,1,0,0,0,0
57,Blackened-Salmon-Tacos-with-Forbidden-Rice-_-Mango-Guacamole-1568028,0,0,0,0,0,0,0,0,1,0,0,0,0
58,Blackened-Shrimp-Tacos-with-Queso-Fresco-1007680,0,0,0,0,0,0,0,0,1,0,0,0,0
59,Braised-Birria-1603432,0,0,0,0,0,0,0,0,1,0,0,0,0
60,Braised-Chicken-Tacos-480523,0,0,0,0,0,0,0,0,1,0,0,0,0
61,Braised-Pork-Carnitas-1275114,0,0,0,0,0,0,0,0,1,0,0,0,0
62,Brazilian-Braised-Pork-in-Passion-Fruit_-Orange-and-Guajillo-Peppers-1288388,0,0,0,0,0,0,0,0,1,0,0,0,0
63,Brussels-Sprouts-Tacos-with-Creamy-Avocado-Sauce-1610927,0,0,0,0,0,0,0,0,1,0,0,0,0
64,Brussels-Sprouts-Tacos-with-Creamy-Avocado-Sauce-1613113,0,0,0,0,0,0,0,0,1,0,0,0,0
65,Bubble-Up-Enchilada-Bake-628721,0,0,0,0,0,0,0,0,1,0,0,0,0
