,id,Barbecue,Cuban,Fall,Game Day,Kid-Friendly,Main Dishes,Mexican,Southwestern,Summer
0,Mexican-Turkey-Crescent-Bake-685407,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0
1,Beef-Enchilada-Crescents-685426,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0
2,Taco-Crescent-Ring-768363,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
3,Easy-Taco-Casserole-1708398,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
4,Mexican-Beef-and-Rice-Skillet-1710641,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
5,Easy-Crescent-Taco-Bake-746777,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
6,Healthy-Chicken-Fajitas-2-SmartPoints-1711103,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
7,Mexican-Chicken-Casserole-1665949,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
8,Sour-Cream-Chicken-Enchilada-Pie-1709177,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0
9,Mexican-Rice-with-Black-Beans-1688636,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
10,Amazing-Taco-Casserole-1711336,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
11,Easy-Chicken-Enchilada-Crescent-Bake-685429,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0
12,Tilapia-Fish-Tacos-with-Tropical-Salsa-1709145,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
13,Mexican-Stuffed-Peppers-With-Quinoa-_-Black-Beans-1706254,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0
14,Vegetarian-Enchilada-Skillet-1709326,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0
15,Chicken-Tacos-with-Creamy-Roasted-Poblano-Sauce-1700660,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
16,Cheesy-Burrito-Casserole-1697404,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0
17,Chipotle-Lime-Chicken-Tacos-1600898,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
18,30-Minute-Creamy-Chicken-Enchiladas-1709077,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
19,Chicken-Enchiladas-1623523,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0
20,Easy-Chicken-Enchilada-Casserole-500471,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
21,Taco-Bake-1689708,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0
22,Chipotle-Shrimp-Tacos-1581958,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
23,Creamy-White-Chicken-Enchiladas-1710664,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0
