,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Crock-Pot-Roast-Enchiladas-993357,,7,4,,2100.0
1,Chicken-Enchiladas-Verde-1612400,,12,4,,3300.0
2,Chicken-Posole-1194764,,9,9,,2400.0
3,Smackin-Good-Shrimp-Tacos-1036455,,15,4,,3000.0
4,Brussels-Sprouts-Tacos-with-Creamy-Avocado-Sauce-1613113,,16,4,,1500.0
5,Best-Slow-Cooker-Carnitas-1233496,,10,11,300.0,300.0
6,Skinny-Mexican-Chicken-Casserole-1538462,,14,4,,3600.0
7,Bushs-Slow-Cooker-Pork-and-Pinto-Bean-Enchiladas-1639942,,9,12,,2100.0
8,Cuban-Mojo-Marinated-Pork-1068505,,12,6,,6300.0
9,Slow-Cooker-Mexican-Shredded-Chicken-Filling-1224510,360.0,11,12,600.0,960.0
10,Mexican-Chicken-Skillet-Dinner-627367,,15,4,,2100.0
11,Buffalo-Chicken-Enchiladas-1100761,,9,4,,3000.0
12,Salsa-Verde-Chicken-Enchiladas-1377416,,6,8,,2100.0
13,Easy-chicken-enchiladas-365429,2700.0,11,6,1200.0,3900.0
14,Chili-339413,,14,6,,3600.0
15,El-Coyote-Enchiladas-Suizas-973116,,15,6,,3600.0
16,Blackened-Shrimp-Tacos-with-Queso-Fresco-1007680,,17,4,,1500.0
17,Easy-Chicken-Enchiladas-1157225,,12,4,1500.0,2100.0
18,Spanish-Baked-Chicken-755582,3000.0,12,4,7200.0,10200.0
19,White-Chicken-Enchilada-1029071,1800.0,8,8,1200.0,3000.0
20,Chimichurri-Steak-Fajitas_-1596327,,28,5,,3600.0
21,Huevos-Rancheros-Con-Carne-1045839,2700.0,15,5,,2700.0
22,Easy-Slow-Cooker-Chicken-Enchiladas-1631006,1800.0,11,4,900.0,2700.0
23,Mexican-beans-and-rice-364925,,10,4,,1800.0
24,Sour-Cream-Enchiladas-1596050,1500.0,10,8,1200.0,2700.0
25,Fish-Tacos-with-Strawberry-Avocado-Salsa-1619652,600.0,19,7,900.0,1500.0
26,Carne-Asada-Epicurious,,9,7,,3300.0
27,STACKED-SHREDDED-CHICKEN-ENCHILADAS-1031495,,5,4,,2400.0
28,Quinoa-Black-Bean-Tacos-589808,2100.0,18,4,600.0,2700.0
29,Slow-Cooker-Black-Bean-_-Corn-Enchiladas-965524,,8,4,,2700.0
30,Low-Carb-Slow-Cooker-Sour-Cream-Chicken-Enchiladas-1506970,,8,10,,3300.0
31,Chimichangas-1077166,600.0,23,14,1200.0,1800.0
32,Taco-Salad-Casserole-1570725,,10,4,,2700.0
33,Beef-Chimichangas-1618999,,10,6,,2100.0
34,Beef-Tacos-with-Radish-and-Avocado-Salsa-998520,,11,4,,1200.0
35,Brazilian-Braised-Pork-in-Passion-Fruit_-Orange-and-Guajillo-Peppers-1288388,14400.0,9,8,600.0,15000.0
36,One-Pan-Mexican-Quinoa-579651,1500.0,15,4,600.0,2100.0
37,Pork-Chile-Verde-with-Potatoes-1216332,,17,8,,6300.0
38,Classic-Chili-Con-Carne-779163,,17,9,,5400.0
39,Fajita-Marinade-III-754973,,7,3,1200.0,1200.0
40,Chicken-Enchilada-Rice-Casserole-626765,1800.0,9,12,1200.0,3000.0
41,Chile-Rellenos-Casserole-964076,,8,6,,4800.0
42,Mexican-seared-steaks-with-jicama-salsa-303018,,11,4,,12360.0
43,Low-Carb-Mexican-Chori-Pollo-Recipe-Gluten-Free-899415,,9,6,,3000.0
44,Easy-Mexican-Casserole-Allrecipes,1800.0,9,6,1200.0,3000.0
45,Grilled-Halibut-Tacos-with-Peach-Salsa-1629566,,14,8,,2100.0
46,Crock-Pot-Shredded-Beef-Tacos-1039913,28800.0,16,4,600.0,29400.0
47,Layered-Enchilada-Bake-1578280,3600.0,9,8,1200.0,4800.0
48,Low-Carb-Chicken-Enchiladas-1492720,1800.0,6,8,1200.0,3000.0
49,Easy-Spicy-Mexican_American-Chicken-AllRecipes,2400.0,5,4,300.0,2700.0
50,Butternut-Squash-Enchiladas-495799,,12,6,,7200.0
51,Easy-and-Creamy-White-Chicken-Enchiladas-1213458,,12,7,,2700.0
52,Black-Bean-Enchiladas-1584399,,17,4,,3900.0
53,One-Pot-Burrito-Bowls-977877,1200.0,19,7,900.0,2100.0
54,Stacked-Veggie-_-Smoky-Black-Bean-Enchilada-624541,2100.0,9,6,600.0,2700.0
55,Perfect-Fish-Tacos-1640045,,13,8,,2100.0
56,Slow-Cooker-Buffalo-Ranch-Chicken-Tacos-1579243,16200.0,8,5,300.0,16200.0
57,Easy-Mango-Shrimp-Tacos-1216957,300.0,14,7,900.0,1200.0
58,Rush-Hour-Chicken-Fajitas-1559712,,12,6,,2100.0
59,Mexican-Doritos-Casserole-1105814,,11,4,,2700.0
60,Easy-Chicken-Posole-1622872,7800.0,11,10,1200.0,9000.0
61,Crock-Pot-Enchiladas-1064269,9000.0,13,8,1800.0,10800.0
62,Mexican-Meatloaf-Meatballs-1615519,,23,18,,4200.0
63,Slow-Cooker-Enchilada-Quinoa-1517773,10800.0,23,8,900.0,11700.0
64,Slow-Cooker-Green-Chile-Pork-Posole-1203760,28800.0,16,7,1800.0,30600.0
65,Mexican-Quesadilla-Casserole-1608227,1500.0,15,8,900.0,2700.0
66,Mexican-Lasagna-1079074,,11,10,,3600.0
67,Veggie-Black-Bean-Enchiladas-1584179,2700.0,14,4,900.0,3600.0
68,Creamy-Mexican-Chicken-1530595,,5,4,,2100.0
69,Slow-Cooker-Pork-Carnitas-761597,,9,12,,15600.0
70,Latin-SweetFire-Chipotle-Chicken-941211,,28,5,,2400.0
