,id,ingredient_list,cuisine,ingredient_string
4625,Amatriciana-Sauce-747837,"[onions, garlic, olive oil, bacon, chopped tomatoes, pepper, salt, red pepper flakes, fresh parsley, dried pasta, grated romano cheese]",Italian,onion garlic olive oil bacon chopped tomato pepper salt red pepper flake fresh parsley dried pasta grated romano cheese
4626,Pesto-tomato-ravioli-364991,"[frozen cheese ravioli, pesto sauce, diced tomatoes]",Italian,frozen cheese ravioli pesto sauce diced tomato
4627,Eggplant-Ricotta-Bake-Martha-Stewart,"[eggplant, olive oil, coarse salt, ground pepper, part-skim ricotta cheese, large eggs, grated parmesan cheese, fresh oregano, marinara sauce]",Italian,eggplant olive oil coarse salt ground pepper part skim ricotta cheese large egg grated parmesan cheese fresh oregano marinara sauce
4628,Potato-Gnocchi-Simply-Recipes-43021,"[baking potatoes, egg yolks, flour, salt, pasta sauce]",Italian,baking potato egg yolk flour salt pasta sauce
4629,BLT-Pasta-with-Garlic-Toast-Bread-Crumbs-1168864,"[bacon, grape tomatoes, sugar, leeks, dry white wine, chicken broth, red wine vinegar, red pepper flakes, noodles, baby spinach leaves, thyme, garlic, french bread, olive oil, salt]",Italian,bacon grape tomato sugar leek dry white wine chicken broth red wine vinegar red pepper flake noodle baby spinach leaf thyme garlic french bread olive oil salt
4630,Spaghetti-With-Garlic_-Pangrattato-And-Olive-Oil-1046851,"[fresh breadcrumbs, garlic cloves, spaghetti, extra-virgin olive oil, flat leaf parsley, freshly grated parmesan, pasta]",Italian,fresh breadcrumb garlic clove spaghetti extra virgin olive oil flat leaf parsley freshly grated parmesan pasta
4631,Cheesy-Sausage-Tortellini-762206,"[olive oil, smoked turkey sausage, garlic, chicken broth, tomato sauce, heavy cream, tortellini, salt, pepper]",Italian,olive oil smoked turkey sausage garlic chicken broth tomato sauce heavy cream tortellini salt pepper
4632,Easy-creamy-chicken-alfredo-365486,"[boneless chicken breast, heavy cream, grated parmesan cheese, spaghetti, butter, olive oil, salt and ground black pepper, basil]",Italian,boneless chicken breast heavy cream grated parmesan cheese spaghetti butter olive oil salt and ground black pepper basil
4633,Italian-Country-Style-Ribs-Allrecipes,"[pork country-style ribs, pasta sauce, water, olive oil]",Italian,pork country style rib pasta sauce water olive oil
4634,Pizza-Baked-Spaghetti-1545065,"[spaghetti, italian pork sausage, pizza sauce, pepperoni, ricotta cheese, shredded parmesan cheese, eggs, shredded mozzarella cheese, fresh basil]",Italian,spaghetti italian pork sausage pizza sauce pepperoni ricotta cheese shredded parmesan cheese egg shredded mozzarella cheese fresh basil
4635,Baked-Rigatoni-Martha-Stewart_1,"[olive oil, onions, garlic, tomato paste, crushed tomatoes, dried oregano, crushed red pepper flakes, freshly ground pepper, coarse salt, rigatoni, whole milk ricotta cheese, fresh mozzarella cheese]",Italian,olive oil onion garlic tomato paste crushed tomato dried oregano crushed red pepper flake freshly ground pepper coarse salt rigatoni whole milk ricotta cheese fresh mozzarella cheese
4636,Prosciutto-mozza-pizza-341023,"[pizza doughs, cornmeal, marinara sauce, fresh mozzarella cheese, olive oil, prosciutto, fresh oregano leaves]",Italian,pizza dough cornmeal marinara sauce fresh mozzarella cheese olive oil prosciutto fresh oregano leaf
4637,White-Cheese-Chicken-Lasagna-1607710,"[lasagna noodles, butter, onions, garlic, all-purpose flour, salt, chicken broth, milk, shredded mozzarella cheese, grated parmesan cheese, dried basil, dried oregano, ground black pepper, ricotta cheese, chicken meat, frozen chopped spinach, fresh parsley]",Italian,lasagna noodle butter onion garlic all purpose flour salt chicken broth milk shredded mozzarella cheese grated parmesan cheese dried basil dried oregano ground black pepper ricotta cheese chicken meat frozen chopped spinach fresh parsley
4638,Italian-Beef-1257605,"[chuck roast, onions, garlic, oil, italian seasoning, red pepper flakes, red wine, beef stock]",Italian,chuck roast onion garlic oil italian seasoning red pepper flake red wine beef stock
4639,Penne-with-Tuna-and-Spicy-Mustard-1019430,"[penne pasta, tuna packed in olive oil, mustard, chopped parsley]",Italian,penne pasta tuna packed in olive oil mustard chopped parsley
4640,Linguine-and-Clam-Sauce-474846,"[linguine, extra-virgin olive oil, shallots, clams, lemon, red pepper flakes, grated parmesan cheese]",Italian,linguine extra virgin olive oil shallot clam lemon red pepper flake grated parmesan cheese
