,id,rating,recipeName,sourceDisplayName
0,Mongolian-BBQ-Seitan-971034,3,Mongolian BBQ Seitan,chooseveg.com
1,Diet-Rice-With-Shrimps-1511715,4,Diet Rice With Shrimps,Our Meals
2,Honey-hoisin-chicken-in-the-slow-cooker-365020,5,Honey Hoisin Chicken in the Slow Cooker,Eat at Home
3,Thai-Shrimp-Curry-1064701,4,Thai Shrimp Curry,LaaLoosh
4,Vegetarian-Lo-Mein-1617715,4,Vegetarian Lo Mein,Weelicious
5,Miso-Mayonnaise-Chicken-1633569,3,Miso Mayonnaise Chicken,Japan Centre
6,Sticky-Sweet-and-Spicy-Asian-Chicken-Thighs-1053911,4,Sticky Sweet and Spicy Asian Chicken Thighs,Seasons and Suppers
7,Thai-Beef-and-Basil-Stirfry-Thai-Recipes-1266729,3,Thai Beef and Basil Stirfry – Thai Recipes,The Aimless Cook
8,Ginger_sesame-Marinade-My-Recipes,4,Ginger-Sesame Marinade,MyRecipes
9,Red-Rice-or-Farro-With-Miso-Roasted-Squash_-Leeks_-Red-Pepper-and-Tofu-1685051,3,"Red Rice or Farro With Miso-Roasted Squash, Leeks, Red Pepper and Tofu",New York Times Cooking
10,Thai-Red-Chicken-Curry-993160,3,Thai Red Chicken Curry,House
11,Honey-and-Soy-Baked-Chicken-Thighs-1019856,5,Honey and Soy Baked Chicken Thighs,Real Mom Kitchen
12,Tom-Yum-Goong-1637175,4,Tom Yum Goong,All FIsh Seafood Recipes
13,Unfried-chicken-skewers-_-bbq-sauce-296677,4,Unfried Chicken Skewers & Bbq Sauce,Unilever North America
14,Sesame-Veggie-Soba-1630458,4,Sesame Veggie Soba,Yin and Yolk
15,Korean-Beef-1058276,4,Korean Beef,Mommy on Demand
16,Five-spice-Duck-Breasts-With-Honey-And-Soy-1678385,3,Five-spice Duck Breasts With Honey And Soy,BBC
17,Maple-Miso-Dijon-Salmon-439539,5,Maple-Miso Dijon Salmon,Closet Cooking
18,Sweet-and-Spicy-Tofu-1022505,4,Sweet and Spicy Tofu,Driftwood Gardens
19,Sticky-Sesame-Tofu-and-Broccoli-1686644,4,Sticky Sesame Tofu and Broccoli,The Fitchen
20,Bibimbap-_Korean-Mixed-Rice_-1622764,4,Bibimbap (Korean Mixed Rice),Curious Nut
21,Tropical-Teriyaki-Chicken-Breasts-with-Grilled-Pineapple-1055702,4,Tropical Teriyaki Chicken Breasts with Grilled Pineapple,Fit Foodie Finds
22,Spicy-thai-beef-and-jasmine-rice-352219,5,Spicy Thai Beef and Jasmine Rice,Skinnytaste
23,Shrimp-with-Spicy-Garlic-Sauce-470714,5,Shrimp with Spicy Garlic Sauce,Tracey's Culinary Adventures
24,Sticky-Roasted-Thai-Chicken-681111,3,Sticky Roasted Thai Chicken,Donna Hay
25,Vietnamese-Caramelised-Ginger-Chicken-1626427,4,Vietnamese Caramelised Ginger Chicken,LinsFood
26,Korean-bbq-beef-371107,5,Korean BBQ Beef,Our Best Bites
27,Easy-Asian-Salmon-1275944,4,Easy Asian Salmon,Mom Foodie
28,Chili-Clams-496889,4,Chili Clams,Rasa Malaysia
29,Spaghetti-Squash-Chow-Mein-1119494,4,Spaghetti Squash Chow Mein,Little bits of baking crafting and life
30,One-Pot-Chicken-Teriyaki-Rice-Bowls-1557845,4,One Pot Chicken Teriyaki Rice Bowls,Favorite Family Recipes
31,Sheet-Tray-Salmon-with-Mushrooms-and-Bok-Choy-1640490,3,Sheet Tray Salmon with Mushrooms and Bok Choy,Tasting Table
32,Korean-Ginger-Chicken-1126888,3,Korean Ginger Chicken,Korean Food
33,Beef-Stir-Fry-601854,3,Beef Stir Fry,Inmotion Life
34,Thai-Chicken-1570331,4,Thai Chicken,Everyday Made Fresh
35,Vietnamese-Caramelized-Shrimp-1022348,4,Vietnamese Caramelized Shrimp,Once Upon A Chef
