,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Mongolian-BBQ-Seitan-971034,,16,4,,2100.0
1,Diet-Rice-With-Shrimps-1511715,,6,4,,2400.0
2,Honey-hoisin-chicken-in-the-slow-cooker-365020,,6,4,,1800.0
3,Thai-Shrimp-Curry-1064701,600.0,11,6,900.0,1500.0
4,Vegetarian-Lo-Mein-1617715,,16,5,,1800.0
5,Miso-Mayonnaise-Chicken-1633569,,5,2,,1800.0
6,Sticky-Sweet-and-Spicy-Asian-Chicken-Thighs-1053911,2700.0,11,4,300.0,3300.0
7,Thai-Beef-and-Basil-Stirfry-Thai-Recipes-1266729,,10,4,,1200.0
8,Ginger_sesame-Marinade-My-Recipes,,5,4,,4500.0
9,Red-Rice-or-Farro-With-Miso-Roasted-Squash_-Leeks_-Red-Pepper-and-Tofu-1685051,7200.0,13,4,,7200.0
10,Thai-Red-Chicken-Curry-993160,,9,4,,3000.0
11,Honey-and-Soy-Baked-Chicken-Thighs-1019856,,8,4,,4200.0
12,Tom-Yum-Goong-1637175,,12,4,,3000.0
13,Unfried-chicken-skewers-_-bbq-sauce-296677,,6,4,,4200.0
14,Sesame-Veggie-Soba-1630458,,13,2,,3000.0
15,Korean-Beef-1058276,600.0,10,4,300.0,900.0
16,Five-spice-Duck-Breasts-With-Honey-And-Soy-1678385,1800.0,12,2,1800.0,3600.0
17,Maple-Miso-Dijon-Salmon-439539,1800.0,8,4,300.0,2700.0
18,Sweet-and-Spicy-Tofu-1022505,300.0,7,4,3600.0,3900.0
19,Sticky-Sesame-Tofu-and-Broccoli-1686644,1500.0,15,4,900.0,2400.0
20,Bibimbap-_Korean-Mixed-Rice_-1622764,,23,4,,3000.0
21,Tropical-Teriyaki-Chicken-Breasts-with-Grilled-Pineapple-1055702,1200.0,8,5,14400.0,15600.0
22,Spicy-thai-beef-and-jasmine-rice-352219,,11,5,,3000.0
23,Shrimp-with-Spicy-Garlic-Sauce-470714,,10,4,,1200.0
24,Sticky-Roasted-Thai-Chicken-681111,,9,4,,2100.0
25,Vietnamese-Caramelised-Ginger-Chicken-1626427,1800.0,13,4,2100.0,3900.0
26,Korean-bbq-beef-371107,,7,5,,2400.0
27,Easy-Asian-Salmon-1275944,,5,4,,2100.0
28,Chili-Clams-496889,300.0,9,4,900.0,1200.0
29,Spaghetti-Squash-Chow-Mein-1119494,,10,4,,3600.0
30,One-Pot-Chicken-Teriyaki-Rice-Bowls-1557845,,12,4,,2400.0
31,Sheet-Tray-Salmon-with-Mushrooms-and-Bok-Choy-1640490,900.0,18,7,1500.0,2400.0
