,id,rating,recipeName,sourceDisplayName
0,Snickers-Chocolate-Cake-Mix-Bars-1710321,4,Snickers Chocolate Cake Mix Bars,Kleinworth Co.
1,Mango-Coconut-Popsicles-1699009,4,Mango Coconut Popsicles,Eat Good 4 Life
2,Man-Bars-1703874,4,Man Bars,South your mouth
3,Best-Chocolate-Peanut-Butter-Cake-1697695,4,Best Chocolate Peanut Butter Cake,Inside BruCrew Life
4,Rolled-Pumpkin-Spice-Cake-with-Cranberry-Jam_-Grand-Marnier-Syrup-_-Cream-Cheese-Filling-1707844,4,"Rolled Pumpkin Spice Cake with Cranberry Jam, Grand Marnier Syrup & Cream Cheese Filling",Cooking Melangery
5,Caramel-Sauce-With-Milk-1598803,3,Caramel Sauce With Milk,Cake Spy
6,Layered-Caramel-Pecan-Toffee-Ice-Cream-Crumble-Cake-1690324,4,Layered Caramel Pecan Toffee Ice Cream Crumble Cake,Carlsbad Cravings
7,Browned-Butter-Toffee-Sugar-Cookies-1699110,4,Browned-Butter Toffee Sugar Cookies,Hello Sweetie
8,Blueberry-_-Peach-Cobbler-1712105,3,Blueberry & Peach Cobbler,The Mommypotamus
9,Maple-Berry-Parfait-1710596,3,Maple Berry Parfait,Cooking Channel
10,No-Bake-Scotcheroo-Pie-1682025,4,No Bake Scotcheroo Pie,Julie's Eats & Treats
11,Ocean-Cupcakes-in-a-Jar-1705202,4,Ocean Cupcakes in a Jar,Mom's Messy Miracles
12,15-Minute-Strawberry-Jam-1683439,4,15-Minute Strawberry Jam,Kitchen Meets Girl
13,Sweet-Corn-and-Coconut-Pudding-1708442,3,Sweet Corn and Coconut Pudding,Recipe Just 4 U
14,Edible-Egg-less-Chocolate-Chip-Cookie-Dough-1117064,4,Edible Egg-less Chocolate Chip Cookie Dough,Center Cut Cook
15,Pumpkin-Spice-Custard-With-Marrow-Infusion-1712116,3,Pumpkin Spice Custard With Marrow Infusion,The Mommypotamus
16,Snickers-Ice-Cream-Cake-Bars-1711862,3,Snickers™ Ice Cream Cake Bars,Betty Crocker
17,Homemade-Reeses-Cups-1702187,4,Homemade Reese’s Cups,Life's Ambrosia
18,Super-Easy-S_Mores-Bars-1698461,4,Super Easy S'Mores Bars,Just So Tasty
19,Flourless-Chocolate-Cake-With-Matcha-Buttercream-1708952,4,Flourless Chocolate Cake With Matcha Buttercream,My Darling Lemon Thyme
20,Southern-Blackberry-Cobbler-1628747,4,Southern Blackberry Cobbler,Add a Pinch
21,Sunburst-Lemon-Bars-1225941,4,Sunburst Lemon Bars,"So, How's It Taste?"
22,Healthy-4-Ingredient-Maple-Peanut-Butter-Fudge-_naturally-vegan_-gluten-free_-1601222,4,"Healthy 4-Ingredient Maple Peanut Butter Fudge (naturally vegan, gluten-free)",Texanerin
23,Peanut-Powder-Cookies-1705317,3,Peanut Powder Cookies,Jif
24,Milk-And-Pistachio-Cookies-1705753,4,Milk And Pistachio Cookies,A Brown Table
25,Peanut-Butter-Lovers-Ice-Cream-1708422,4,Peanut Butter Lovers Ice Cream,Cookie Dough and Oven Mitt
26,Chocolate-Pound-Cake-1575218,3,Chocolate Pound Cake,Donna Hay
27,Fudge-Brownie-Cookies-1707454,4,Fudge Brownie Cookies,Kelsey In The Kitchen
28,Gluten-Free-Homemade-Peanut-Butter-Cups-1707566,4,Gluten-Free Homemade Peanut Butter Cups,Lazy Gluten Free
29,Sweet-_-Salty-Brownie-Ice-Cream-Sandwiches-1533140,4,Sweet & Salty Brownie Ice Cream Sandwiches,Unilever North America
30,Old-Fashioned-Strawberry-Icebox-Cake-1648043,4,Old Fashioned Strawberry Icebox Cake,An Affair From The Heart
31,Orange-Cream-Fruit-Dip-1693784,3,Orange Cream Fruit Dip,Everyday Dishes
32,Seven-Minute-Frosting-1688889,3,Seven-Minute Frosting,King Arthur Flour
33,Vanilla-Bean-Yogurt-Dip-and-Patriotic-Fruit-Skewers-1704137,4,Vanilla Bean Yogurt Dip and Patriotic Fruit Skewers,Rachel Cooks
34,Delicious-homemade-ice-cream-1643044,4,«Delicious homemade ice cream»,Good food. Best Recipes
35,Lemon-Meringue-Pie-1687870,4,Lemon Meringue Pie,Landeelu
36,Marshmallow-Ice-Cream-1611286,3,Marshmallow Ice Cream,52 Kitchen Adventures
37,Sea-Salted-Chocolate-Honey-Peanut-Butter-Bars-1705035,3,Sea-Salted Chocolate Honey Peanut Butter Bars,Southern Mom Loves
38,Lavender-Ice-Cream-1679536,4,Lavender Ice Cream,Mon Petit Four
39,Cheesecake-Stuffed-Strawberries-1186240,4,Cheesecake Stuffed Strawberries,"Dessert  Now, Dinner Later"
40,Southern-Banana-Pudding-1679904,3,Southern Banana Pudding,Kraft
41,Cake-Raffaello-1703401,4,Cake Raffaello,Good food. Best Recipes
42,Cranberry-Chocolate-Chip-Shortbread-1709102,4,Cranberry Chocolate Chip Shortbread,A Spicy Perspective
43,Frozen-Chocolate-Whips_-_Low-Carb-THM-S_-1548548,4,Frozen Chocolate Whips! (Low Carb THM S),Sprinkle Some Fun
44,Oreo-Cookie-Butter-1707547,4,Oreo Cookie Butter,talesofarantingginger.com
45,Cherry-Marble-Cake-1682253,4,Cherry Marble Cake,The Gracious Wife
46,Peanut-Butter-Cookies-1701004,3,Peanut Butter Cookies,New York Times Cooking
47,Croissant-Bread-Pudding-with-Lemon-Butter-and-Blueberries-1690140,4,Croissant Bread Pudding with Lemon Butter and Blueberries,The Unlikely Baker
48,Rhubarb-Dump-Cake-1709796,3,Rhubarb Dump Cake,Kraft
49,Tangerine-Scented-Almond-Cookies-1701566,3,Tangerine-Scented Almond Cookies,New York Times Cooking
50,Flourless-Dark-Chocolate-Torte-1639425,3,Flourless Dark Chocolate Torte,Challenge
51,Raspberry-Ganache-Thumbprints-1697843,4,Raspberry Ganache Thumbprints,The Gracious Wife
52,No-Bake-Patriotic-Cheesecake-1713024,4,No Bake Patriotic Cheesecake,Upstate Ramblings
53,NUT-CAKE-1706939,4,NUT CAKE,Good food. Best Recipes
54,Black-and-Blue-Cobbler-1707908,3,Black-and-Blue Cobbler,Tasteof the South Magazine
55,S_mores-Pie_-1710764,4,S'mores Pie!,Lake Shore Lady
56,Peach-Blueberry-Cobbler-Cake-1712270,4,Peach Blueberry Cobbler Cake,In Jennie's Kitchen
57,Fresh-Strawberry-Cake-1689603,4,Fresh Strawberry Cake,US RECIPE
58,Almond-Butter-Cups-1613767,4,Almond Butter Cups,Eat Yourself Green
59,Easy-3-Ingredient-Fudge-1586396,4,Easy 3 Ingredient Fudge,Lori Ann's Food & Fam
