,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
89,Double-Chocolate-Chip-Oreo-Cake-Mix-Cookies-1700485,600.0,7,12,600.0,1200
90,Leftover-Chocolate-Mousse-1683154,,5,4,900.0,900
91,Mayonnaise-1594803,,4,4,300.0,300
92,Honeydew-Coconut-Lime-Popsicle-1698994,,7,4,,900
93,Homestyle-Banana-Pudding-1685493,,9,8,,2700
94,Mango-Pudding-1688016,,8,10,,2700
95,Blueberry-Popsicles-with-Purple-Sweet-Potato-1712910,7200.0,6,8,1200.0,8400
96,NUTELLA-COOKIES-3-INGREDIENTS-1697977,,3,4,,1800
97,Homemade-Strawberry-Ice-Cream-1712290,,7,4,,3600
98,Profiteroles-Custard-Pastries-1682008,,7,4,,3000
99,Big-Mac-Cake-1705354,900.0,8,12,900.0,1800
100,Perfect-Sugar-Free-Chocolate-Cake-1707164,1200.0,9,20,300.0,1500
101,Vegan-Almond-Flour-Brownies-1706234,,11,1,300.0,300
102,Rice-Krispie-Treat-Ice-Cream-Pie-1710908,,5,12,,2700
103,Kesar-Peda-_Indian-Milk-Dessert_-1700962,,7,4,,2400
104,4-1707307,,5,4,,3000
105,Chocolate-Peanut-Butter-No-Bake-Pie-1571205,,6,8,28800.0,28800
106,Brown-Butter-Candied-Pecan-Ice-Cream-1640886,1200.0,10,4,1200.0,2400
107,Peanut-Butter-Balls-1621946,,4,80,,2700
108,Banana-Cake-1706011,3600.0,16,4,,3600
109,Apple-Oatmeal-Spice-Cookies-760978,720.0,14,36,1200.0,1920
110,Secretly-Skinny-Double-Chocolate-Brownies-1705948,,12,9,,2400
111,No-Churn-Snickers-Cheesecake-Ice-Cream-1711552,,5,1,600.0,600
112,Peanut-Butter-Crunch-1711137,1500.0,7,11,1800.0,3300
113,Oreo-Popsicles-1568276,,4,8,22200.0,22200
114,Classic-Chiffon-Cake-1705190,,10,11,,5100
115,Oatmeal-Lemon-Cream-Bars-1700799,1500.0,13,16,1500.0,1800
116,Nutella-Rugelach-1685693,,8,32,,1800
117,Old-Fashioned-Apple-Pie-1704704,,11,4,,4200
118,Brownie-Ice-Cream-Sandwiches-1713278,,8,4,,3900
119,Apple-Dumpling-Bites-1631771,180.0,5,16,300.0,480
120,6_-Chocolate-Chip-Butterscotch-Bars-1703540,,9,4,,2700
121,Yum-Yum-Cake-_No-Oil-or-Butter__-1698173,1800.0,7,1,600.0,2400
122,Strawberry-Rhubarb-Pie-1695830,,6,6,,60
123,Caramel-Chocolate-Chip-Oat-Bars-1704636,2700.0,13,12,1800.0,4500
124,Raspberry-Lemonade-Cheesecake-Bars-1711865,,10,4,1500.0,13800
125,Honeydew-Sorbet-1712617,,3,4,,2400
