id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
45-Calorie-Fat-Free-Waffle-1528466,4,,,,,,,,7,6,,1200,"[whole wheat flour, salt, baking powder, unsweetened applesauce, unsweetened almond milk, egg whites, splenda]",Breakfast_Brunch
5-Ingredient-Blender-Pancakes-1684451,4,0.666666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,900.0,8,6,600.0,1500,"[bananas, unsweetened applesauce, old-fashioned oats, eggs, baking powder, ground cinnamon, chocolate chips, chopped nuts]",Breakfast_Brunch
5-Ingredient-Cheddar-and-Chive-Waffles-with-a-Fried-Egg-1632517,4,0.833333333333,0.833333333333,0.0,0.833333333333,0.166666666667,0.166666666667,900.0,5,4,600.0,1500,"[waffle mix, eggs, canola oil, sharp cheddar cheese, chives]",Breakfast_Brunch
5-Ingredient-Quinoa-Breakfast-Pots-1222695,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.833333333333,0.333333333333,,5,4,,1500,"[almond milk, quinoa, strawberries, pistachios, honey]",Breakfast_Brunch
5-Ingredient-Quinoa-Breakfast-Pots-1698919,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.833333333333,0.333333333333,,5,4,,1500,"[almond milk, quinoa, strawberries, pistachios, honey]",Breakfast_Brunch
5-Ingredient-Vegan-Banana-French-Toast-1640908,4,,,,,,,420.0,7,2,600.0,1020,"[bananas, unsweetened almond milk, flaxseed, cinnamon, wheat bread, vanilla extract, almond meal]",Breakfast_Brunch
5-Minute-Chocolate-Oatmeal-568037,4,,,,,,,,8,1,,1200,"[rolled oats, milk, bananas, cocoa powder, salt, pure vanilla extract, sweetener, chocolate chips]",Breakfast_Brunch
5-Minute-Extra-Fluffy-Pancakes-1208351,4,,,,,,,,9,4,,300,"[canola oil, eggs, vanilla, milk, all-purpose flour, sugar, baking powder, salt, cooking spray]",Breakfast_Brunch
5-Minute-Protein-Pancakes-1267630,4,0.666666666667,0.666666666667,0.0,0.166666666667,0.666666666667,0.333333333333,,5,4,,600,"[unsweetened vanilla almond milk, protein powder, bananas, cinnamon, egg whites]",Breakfast_Brunch
7-Ingredient-Superfood-Quinoa-Breakfast-Bowl-1550560,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.666666666667,0.333333333333,300.0,7,1,900.0,1200,"[cooked quinoa, unsweetened vanilla almond milk, fresh raspberries, bananas, chopped almonds, peanut butter, cacao nibs]",Breakfast_Brunch
A-Bit-Weird-Easy-Cinnamon-Eggs-599837,3,,,,,,,120.0,6,1,180.0,300,"[fine sea salt, ground cinnamon, almond milk, eggs, egg whites, coconut oil]",Breakfast_Brunch
A-Classic-Breakfast-Idea-1693356,4,0.833333333333,0.833333333333,0.0,0.833333333333,0.166666666667,0.166666666667,,5,4,,1500,"[butter, eggs, toast, salt, pepper]",Breakfast_Brunch
Absolute-Best-Pancake-Syrup-Allrecipes,5,0.166666666667,0.166666666667,0.0,0.5,0.166666666667,0.833333333333,300.0,7,2,300.0,600,"[butter, sugar, buttermilk, vanilla extract, corn syrup, ground cinnamon, baking soda]",Breakfast_Brunch
Acapulco-Eggs-1712547,4,,,,,,,,9,6,,1800,"[unsalted butter, eggs, unsweetened almond milk, cottage cheese, green chile, nopales, salt, black pepper, cheddar cheese]",Breakfast_Brunch
Aebleskivers-782383,4,0.666666666667,0.166666666667,0.0,0.333333333333,0.0,0.333333333333,,7,20,,2100,"[wheat flour, sugar, baking powder, salt, eggs, whole milk, melted butter]",Breakfast_Brunch
African-Pancakes-1618969,4,0.166666666667,0.5,0.0,0.166666666667,0.166666666667,0.666666666667,900.0,8,4,4200.0,5100,"[flour, milk, sugar, eggs, melted butter, vanilla flavoring, nutmeg, oil]",Breakfast_Brunch
Akoori-_Indian-Scrambled-Eggs_-1216460,4,0.166666666667,0.333333333333,0.666666666667,0.333333333333,0.833333333333,0.166666666667,900.0,9,4,900.0,1800,"[butter, yellow onion, garlic, green chilies, ground cumin, medium tomatoes, cilantro, large eggs, salt]",Breakfast_Brunch
Alanna_s-peanut-butter-oatmeal-309979,5,,,,,,,,6,4,,600,"[oatmeal, water, salt, peanut butter, ground cinnamon]",Breakfast_Brunch
Almond-Blueberry-French-Toast-1690330,4,,,,,,,,9,4,,1500,"[bread, eggs, milk, almond extract, sugar, ground cinnamon, frozen blueberries, whipped cream, maple syrup]",Breakfast_Brunch
Almond-Butter-Pancakes-1087916,4,0.333333333333,0.833333333333,0.0,0.166666666667,0.166666666667,0.5,,5,3,,900,"[almond flour, almond butter, eggs, honey, cinnamon]",Breakfast_Brunch
Almond-Butter-Pancakes-1694236,4,0.833333333333,0.833333333333,0.0,0.666666666667,0.5,0.5,600.0,12,5,600.0,1200,"[whole wheat white flour, baking powder, salt, almonds, large eggs, pure maple syrup, vanilla extract, coconut oil, almond butter, berries, maple syrup]",Breakfast_Brunch
Almond-Butter-Pancakes-_Grain-Free_-1052062,4,0.833333333333,0.833333333333,0.0,0.5,0.166666666667,0.333333333333,,6,2,,1800,"[almond butter, unsweetened applesauce, eggs, baking soda, cinnamon, vanilla extract]",Breakfast_Brunch
Almond-Flour-Pancakes-1372156,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,,7,4,,2100,"[almond flour, baking powder, salt, eggs, pure vanilla extract, almond milk, pomegranate juice]",Breakfast_Brunch
