id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
Low-Calorie-Creamy-Balsamic-Salad-Dressing-1121413,4,0.666666666667,0.166666666667,0.333333333333,0.833333333333,0.166666666667,0.833333333333,,6,4,,600.0,"[balsamic vinegar, light soy sauce, dijon mustard, honey, nonfat greek yogurt, extra-virgin olive oil]",salad
Low-Calorie-Parmesan-Ranch-Dressing-1699107,4,0.833333333333,0.833333333333,0.0,0.833333333333,0.166666666667,0.166666666667,,6,1,600.0,3600.0,"[ranch dressing, parmesan cheese, apple cider vinegar, garlic powder, onion powder, black pepper]",salad
Low-Fat-BUT-Creamy-Coleslaw-1697329,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.833333333333,0.333333333333,,14,4,600.0,600.0,"[white cabbage, large carrots, purple onion, yoghurt, pears, lime, strawberries, lemon, honey, salt, pepper, cabbage, onions, carrots]",salad
Low-Fat-Chick-Pea-and-Tomato-Salad-1639911,4,0.5,0.333333333333,0.0,0.166666666667,0.833333333333,0.5,,6,5,,900.0,"[chickpeas, grape tomatoes, sliced green onions, lemon, olive oil, chopped fresh mint]",salad
Low-Sodium-Creamy-Dill-Pickle-Dressing-1710424,4,0.166666666667,0.5,0.0,0.0,0.166666666667,0.833333333333,300.0,3,2,300.0,600.0,"[avocado, pickle juice, olive oil]",salad
Lowcountry-Pickled-Coleslaw-1707512,3,0.833333333333,0.166666666667,0.5,0.833333333333,0.833333333333,0.166666666667,,13,8,,2400.0,"[green cabbage, red cabbage, vidalia onion, carrots, sweet pepper, garlic, salt, minced ginger, rice vinegar, olive oil, lime, freshly ground pepper]",salad
Macaroni-Salad-1668471,4,0.5,0.5,0.166666666667,0.833333333333,0.333333333333,0.5,600.0,10,12,900.0,1500.0,"[elbow macaroni, mayonnaise, pickle juice, deveined shrimp, bell pepper, carrots, celery, green onions, salt, pepper]",salad
Macaroni-Salad-1691226,4,,,,,,,,14,4,,2400.0,"[elbow macaroni, mayonnaise, red wine vinegar, sugar, salt, pepper, mustard, sweet pickle juice, whole milk, celery, red bell pepper, purple onion, sliced black olives, fresh parsley]",salad
Macaroni-Salad-1708197,4,0.833333333333,0.833333333333,0.166666666667,0.833333333333,0.5,0.5,,11,4,,2100.0,"[small pasta, mayonnaise, mustard, sour cream, apple cider vinegar, sugar, kosher salt, ground black pepper, ham steak, cheddar cheese, frozen peas]",salad
Macaroni-Salad-1708593,4,0.833333333333,0.166666666667,0.333333333333,0.833333333333,0.833333333333,0.5,,11,4,,1800.0,"[noodles, red pepper, green pepper, diced celery, green onions, carrots, mayonnaise, apple cider vinegar, sugar, salt, pepper]",salad
Macaroni-Salad-1711699,4,0.333333333333,0.166666666667,0.333333333333,0.5,0.5,0.666666666667,,12,16,,2400.0,"[elbow macaroni, carrots, purple onion, green bell pepper, red bell pepper, chopped celery, mayonnaise, sweetened condensed milk, white sugar, white vinegar, salt, pepper]",salad
Macaroni-Salad-471219,5,,,,,,,,7,4,,1800.0,"[macaroni, mayonnaise, spicy brown mustard, pimentos, sweet pickle relish, salt, pepper]",salad
Make-A-Delicious-Classic_-1682221,4,,,,,,,,6,4,300.0,300.0,"[iceberg lettuce, tomatoes, crispy bacon, pepitas, croutons, ranch dressing]",salad
Make-Ahead-Creamy-Cucumber-Salad-1366177,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.333333333333,0.333333333333,,7,4,,2100.0,"[english cucumber, onions, sour cream, lemon juice, sugar, dill, pepper]",salad
Make-This-Greek-Quinoa-Salad-1707471,4,0.666666666667,0.166666666667,0.166666666667,0.833333333333,0.833333333333,0.166666666667,,13,4,,1800.0,"[fresh oregano leaves, garlic cloves, lemon, olive oil, salt, cherry tomatoes, cucumber, feta cheese, bell pepper, diced red onions, pitted olives, chopped parsley, cooked quinoa]",salad
Mama_s-Classic-Coleslaw-1686149,4,0.5,0.166666666667,0.166666666667,0.666666666667,0.833333333333,0.166666666667,,6,10,300.0,300.0,"[slaw mix, mayonnaise, heavy cream, yellow mustard, garlic salt, black pepper]",salad
Mandarin-Orange-Salad-1698542,4,0.333333333333,0.166666666667,0.166666666667,0.5,0.833333333333,0.5,,14,4,,1500.0,"[mixed salad greens, celery, green onions, orange slices, slivered almonds, butter, oil, tarragon vinegar, juice, mandarin oranges, sugar, hot sauce, salt, pepper]",salad
Mandarin-Strawberry-Salad-with-Poppy-Seed-Dressing-1649343,4,0.666666666667,0.833333333333,0.166666666667,0.833333333333,0.666666666667,0.666666666667,,12,4,600.0,600.0,"[olive oil, sugar, apple cider vinegar, poppy seeds, onions, salt, dry mustard, romaine lettuce, mandarin oranges, strawberries, feta cheese, sliced almonds]",salad
Mango-Avocado-Strawberry-Salad-1063960,3,0.166666666667,0.166666666667,0.0,0.0,0.833333333333,0.5,,5,2,,1200.0,"[mango, avocado, strawberries, mint leaves, lemon juice]",salad
Mango-Lime-Dressing-1604046,4,,,,,,,,8,4,,750.0,"[mango, red chili peppers, lime juice, rice vinegar, canola oil, sesame oil, kosher salt, cracked black pepper]",salad
Mango-Lime-Quinoa-Salad-1704575,4,0.5,0.166666666667,0.0,0.166666666667,0.666666666667,0.333333333333,1200.0,12,7,600.0,1800.0,"[quinoa, grape tomatoes, cucumber, avocado, mango, chopped cilantro, olive oil, lime, feta cheese, garlic salt, salt, pepper]",salad
Mango-Lime-Vinaigrette-1708781,4,0.833333333333,0.166666666667,0.166666666667,0.833333333333,0.833333333333,0.666666666667,,7,1,,900.0,"[mango, olive oil, lime juice, rice vinegar, ginger, red pepper flakes, sea salt]",salad
Mango-Pasta-Salad-1704110,4,0.5,0.166666666667,0.666666666667,0.333333333333,0.833333333333,0.5,,20,4,2400.0,2400.0,"[dressing, mango, fresh lime juice, fresh orange juice, honey, cumin, granulated garlic, salt, extra-virgin olive oil, chopped cilantro, freshly ground black pepper, salad, rotini, red bell pepper, yellow bell pepper, green bell pepper, jack cheese, jalapeno chilies]",salad
Mango-Salad-With-Rhubarb-Ginger-Dressing-_-Chili-Almonds-1713104,4,0.833333333333,0.166666666667,0.166666666667,0.166666666667,0.833333333333,0.666666666667,,16,5,,1800.0,"[coconut oil, rhubarb, fresh ginger, lime, maple syrup, extra-virgin olive oil, salt, pepper, raw almonds, chili powder, mango, kale, chives, mint leaves, radishes]",salad
Mango-Shrimp-Salad-1708956,4,0.166666666667,0.166666666667,0.166666666667,0.5,0.833333333333,0.333333333333,,17,4,,4200.0,"[shrimp, shallots, green onions, fresh lemon juice, olive oil, fresh dill, fresh parsley, kosher salt, pepper, red bell pepper, english cucumber, mango, mayonnaise, salt, lettuce leaves]",salad
Mango-_-Avocado-Spring-Salad-with-a-Honey-Lime-Dressing-1641177,3,0.833333333333,0.5,0.0,0.666666666667,0.833333333333,0.666666666667,,10,2,,1200.0,"[honey, olive oil, lime zest, garlic, salt, avocado, mango, lettuce leaves, pumpkin seeds, cashew nuts]",salad
Mango_-Avocado-And-Arugula-Salad-1642493,4,0.5,0.166666666667,0.833333333333,0.166666666667,0.833333333333,0.5,,14,4,,1500.0,"[rocket leaves, mango, avocado, purple onion, lime juice, champagne vinegar, orange juice, olive oil, cumin, chopped cilantro, red chili peppers, salt, pepper]",salad
Mango_-Avocado-_-Broccoli-Salad-631697,3,,,,,,,,7,4,,600.0,"[mango, avocado, broccoli, dates, sea salt, balsamic vinegar, ground pepper]",salad
Mango_-Chickpeas-_-Feta-Roasted-Yams-Salad-1679123,4,0.666666666667,0.166666666667,0.0,0.166666666667,0.833333333333,0.5,,10,4,,1800.0,"[yams, garlic cloves, chickpeas, cucumber, mango, avocado, feta cheese, lime, freshly ground black pepper, coconut]",salad
Maple-Balsamic-Vinaigrette-_Paleo_-1628043,4,0.166666666667,0.833333333333,0.333333333333,0.5,0.166666666667,0.833333333333,,5,4,,300.0,"[extra-virgin olive oil, balsamic vinegar, pure maple syrup, honey mustard, sea salt]",salad
Marinated-Asparagus-Salad-1687883,4,,,,,,,,6,6,,1800.0,"[garlic salt, italian salad dressing mix, dried tarragon leaves, asparagus, tarragon vinegar, black pepper]",salad
Marinated-Cucumber-Salad-1035140,4,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.166666666667,0.5,,8,4,,1200.0,"[cucumber, purple onion, tomatoes, red wine vinegar, water, sugar, salt, ground pepper]",salad
Marinated-Three-Bean-Salad-with-Artichoke-Hearts-1705485,4,,,,,,,,14,4,,2100.0,"[green beans, wax beans, red kidnei beans, rins and drain, artichoke hearts, green bell pepper, purple onion, granulated sugar, vegetable oil, apple cider vinegar, celery seed, mustard seeds, kosher salt, black pepper, fresh thyme]",salad
